id,business_id,category
127,8y56fOiKhtCnqaiYB2S2Qg,Bars
128,ok38fApaT1TBEU-IH85BvA,"Home Services"
129,ok38fApaT1TBEU-IH85BvA,Contractors
130,ok38fApaT1TBEU-IH85BvA,"Pool & Hot Tub Service"
131,ok38fApaT1TBEU-IH85BvA,"Pool Cleaners"
132,lj0MiK5_fyv9df2twnsI7g,"Hair Salons"
133,lj0MiK5_fyv9df2twnsI7g,"Blow Dry/Out Services"
134,lj0MiK5_fyv9df2twnsI7g,"Hair Stylists"
135,lj0MiK5_fyv9df2twnsI7g,"Beauty & Spas"
136,lj0MiK5_fyv9df2twnsI7g,"Hair Extensions"
137,S4a42azhoOmr0fpeNkggHg,"Home & Garden"
138,S4a42azhoOmr0fpeNkggHg,"Furniture Stores"
139,S4a42azhoOmr0fpeNkggHg,Shopping
140,A_Ij4SwFmlRbVtRnsdSzWA,"Event Planning & Services"
141,A_Ij4SwFmlRbVtRnsdSzWA,Caterers
142,tRVx2c89coruPRwYhGTcTw,Nightlife
143,tRVx2c89coruPRwYhGTcTw,Izakaya
144,tRVx2c89coruPRwYhGTcTw,"Comfort Food"
145,tRVx2c89coruPRwYhGTcTw,"Cocktail Bars"
146,tRVx2c89coruPRwYhGTcTw,"Asian Fusion"
147,tRVx2c89coruPRwYhGTcTw,Bars
148,tRVx2c89coruPRwYhGTcTw,Japanese
149,tRVx2c89coruPRwYhGTcTw,Restaurants
150,tRVx2c89coruPRwYhGTcTw,Gastropubs
151,tRVx2c89coruPRwYhGTcTw,"Tapas/Small Plates"
152,1Jp_hmPNUZArNqzpbm7B0g,"Home Services"
153,1Jp_hmPNUZArNqzpbm7B0g,"Lighting Fixtures & Equipment"
154,1Jp_hmPNUZArNqzpbm7B0g,"Local Services"
155,1Jp_hmPNUZArNqzpbm7B0g,Electricians
156,1Jp_hmPNUZArNqzpbm7B0g,"TV Mounting"
157,zjySmTfL9WiMDVgp8-Jp3w,Desserts
158,zjySmTfL9WiMDVgp8-Jp3w,"Ice Cream & Frozen Yogurt"
159,zjySmTfL9WiMDVgp8-Jp3w,Food
160,5qpi5VQ_S2Itm8xvRm1k8Q,Shopping
161,5qpi5VQ_S2Itm8xvRm1k8Q,"Guns & Ammo"
162,BnuzcebyB1AfxH0kjNWqSg,Restaurants
163,BnuzcebyB1AfxH0kjNWqSg,Italian
164,BnuzcebyB1AfxH0kjNWqSg,Seafood
165,rDMptJYWtnMhpQu_rRXHng,"Fast Food"
166,rDMptJYWtnMhpQu_rRXHng,Burgers
167,rDMptJYWtnMhpQu_rRXHng,Restaurants
168,1WBkAuQg81kokZIPMpn9Zg,Burgers
169,1WBkAuQg81kokZIPMpn9Zg,Restaurants
170,Z-4KHBDbdwyC7PwA_JE5Xw,Tanning
171,Z-4KHBDbdwyC7PwA_JE5Xw,"Day Spas"
172,Z-4KHBDbdwyC7PwA_JE5Xw,"Spray Tanning"
173,Z-4KHBDbdwyC7PwA_JE5Xw,"Beauty & Spas"
174,Z-4KHBDbdwyC7PwA_JE5Xw,"Hair Salons"
175,DPQnTnNw2PJj7DdENM98Cw,"Nurseries & Gardening"
176,DPQnTnNw2PJj7DdENM98Cw,"Home & Garden"
177,DPQnTnNw2PJj7DdENM98Cw,Shopping
178,_F3AMoo_zdl-he384ISQbw,"Arts & Entertainment"
179,_F3AMoo_zdl-he384ISQbw,"Performing Arts"
180,-ooEO2YqDQVYNHnSF2BPfw,Italian
181,-ooEO2YqDQVYNHnSF2BPfw,Restaurants
182,FmGZh8ZwEnSO860_2eiYHw,"Hotels & Travel"
183,FmGZh8ZwEnSO860_2eiYHw,"Car Rental"
184,Pd52CjgyEU3Rb8co6QfTPw,Nightlife
185,Pd52CjgyEU3Rb8co6QfTPw,Bars
186,Pd52CjgyEU3Rb8co6QfTPw,Barbeque
187,Pd52CjgyEU3Rb8co6QfTPw,"Sports Bars"
188,Pd52CjgyEU3Rb8co6QfTPw,"American (New)"
189,Pd52CjgyEU3Rb8co6QfTPw,Restaurants
190,4srfPk1s8nlm1YusyDUbjg,"Fast Food"
191,4srfPk1s8nlm1YusyDUbjg,Restaurants
192,4srfPk1s8nlm1YusyDUbjg,Sandwiches
193,n7V4cD-KqqE3OXk0irJTyA,Arcades
194,n7V4cD-KqqE3OXk0irJTyA,"Arts & Entertainment"
195,n7V4cD-KqqE3OXk0irJTyA,Gastropubs
196,n7V4cD-KqqE3OXk0irJTyA,Restaurants
197,n7V4cD-KqqE3OXk0irJTyA,"American (New)"
198,c_XbaJqhm-5ycSBOkVUBmg,Restaurants
199,c_XbaJqhm-5ycSBOkVUBmg,Mexican
200,ykJM7EuGziATZ5u2qIT08g,"Active Life"
201,ykJM7EuGziATZ5u2qIT08g,"Fitness & Instruction"
202,ykJM7EuGziATZ5u2qIT08g,Gyms
203,spDZkD6cp0JUUm6ghIWHzA,Restaurants
204,spDZkD6cp0JUUm6ghIWHzA,Chinese
205,PEKloTo1IkW_gyxp15e8Dg,"Eyelash Service"
206,PEKloTo1IkW_gyxp15e8Dg,"Beauty & Spas"
207,Sx0C2RsDgrG3RxBBUoBqTw,Automotive
208,Sx0C2RsDgrG3RxBBUoBqTw,"Auto Repair"
209,v2GJWvZqEAjUc22hZUYzYw,Education
210,v2GJWvZqEAjUc22hZUYzYw,"Performing Arts"
211,v2GJWvZqEAjUc22hZUYzYw,"Specialty Schools"
212,v2GJWvZqEAjUc22hZUYzYw,"Art Schools"
213,v2GJWvZqEAjUc22hZUYzYw,"Arts & Entertainment"
214,MmR06_kNAbmOPK-0pKvGtA,Food
215,MmR06_kNAbmOPK-0pKvGtA,"Coffee & Tea"
216,MmR06_kNAbmOPK-0pKvGtA,Desserts
217,ORUUPE_Ahrcop9K7h6rvVQ,Automotive
218,ORUUPE_Ahrcop9K7h6rvVQ,"Body Shops"
219,ORUUPE_Ahrcop9K7h6rvVQ,"Auto Glass Services"
220,r6Jw8oRCeumxu7Y1WRxT7A,"Home Cleaning"
221,r6Jw8oRCeumxu7Y1WRxT7A,"Home Services"
222,r6Jw8oRCeumxu7Y1WRxT7A,"Window Washing"
223,EJFdWX908N8Yc2XG0Lky8A,Cafes
224,EJFdWX908N8Yc2XG0Lky8A,Restaurants
225,LL01hTt_eVdp-ws4zMDsrw,"Health & Medical"
226,LL01hTt_eVdp-ws4zMDsrw,"General Dentistry"
227,LL01hTt_eVdp-ws4zMDsrw,Dentists
228,d6ngz4WmMaQL8Xdfur7bwQ,"Office Cleaning"
229,d6ngz4WmMaQL8Xdfur7bwQ,"Carpet Cleaning"
230,d6ngz4WmMaQL8Xdfur7bwQ,"Professional Services"
231,d6ngz4WmMaQL8Xdfur7bwQ,"Home Cleaning"
232,d6ngz4WmMaQL8Xdfur7bwQ,"Home Services"
233,d6ngz4WmMaQL8Xdfur7bwQ,"Local Services"
234,6aFAEeJ3nS-iWGt7Tn7S0Q,"Home Services"
235,6aFAEeJ3nS-iWGt7Tn7S0Q,"Television Service Providers"
236,6aFAEeJ3nS-iWGt7Tn7S0Q,"Home Automation"
237,6aFAEeJ3nS-iWGt7Tn7S0Q,"Home Theatre Installation"
238,6aFAEeJ3nS-iWGt7Tn7S0Q,"Professional Services"
239,F31RycVVooeIOp9jsXmg6g,"Breakfast & Brunch"
240,F31RycVVooeIOp9jsXmg6g,Diners
241,F31RycVVooeIOp9jsXmg6g,Restaurants
242,F31RycVVooeIOp9jsXmg6g,Cafes
243,F31RycVVooeIOp9jsXmg6g,British
244,0lCpaZpmjCFEmtti9O9ZdQ,Bakeries
245,0lCpaZpmjCFEmtti9O9ZdQ,Food
246,2pD9wZWXDNsZf_MXd8rQtg,Doctors
247,2pD9wZWXDNsZf_MXd8rQtg,"Health & Medical"
248,c6Shr51XcbvAeXp6hb_Exg,Orthopedists
249,c6Shr51XcbvAeXp6hb_Exg,"Health & Medical"
250,c6Shr51XcbvAeXp6hb_Exg,Doctors
251,iPa__LOhse-hobC2Xmp-Kw,Restaurants
252,iPa__LOhse-hobC2Xmp-Kw,Burgers
253,iPa__LOhse-hobC2Xmp-Kw,"Fast Food"
254,XPZT3zLrkLkFSkBVxSsM3w,"Sporting Goods"
255,XPZT3zLrkLkFSkBVxSsM3w,Shopping
256,zWb-kwaANIPMS_AFBbVOew,"Men's Clothing"
257,zWb-kwaANIPMS_AFBbVOew,"Women's Clothing"
258,zWb-kwaANIPMS_AFBbVOew,Fashion
259,zWb-kwaANIPMS_AFBbVOew,Shopping
260,o1fTwfqN0sDFNpV1CkOPPg,Restaurants
261,o1fTwfqN0sDFNpV1CkOPPg,Sandwiches
262,o1fTwfqN0sDFNpV1CkOPPg,"Coffee & Tea"
263,o1fTwfqN0sDFNpV1CkOPPg,Food
264,-nHkhiuerqmfBG3v2v9O-g,"Breakfast & Brunch"
265,-nHkhiuerqmfBG3v2v9O-g,Bagels
266,-nHkhiuerqmfBG3v2v9O-g,Restaurants
267,-nHkhiuerqmfBG3v2v9O-g,Bakeries
268,-nHkhiuerqmfBG3v2v9O-g,Sandwiches
269,-nHkhiuerqmfBG3v2v9O-g,Food
270,NFTh6mj3X2AnHJCKIFUk5Q,Hotels
271,NFTh6mj3X2AnHJCKIFUk5Q,"Event Planning & Services"
272,NFTh6mj3X2AnHJCKIFUk5Q,"Hotels & Travel"
273,EfYExaDrwhj0k611u5lYMg,Shopping
274,EfYExaDrwhj0k611u5lYMg,"Public Services & Government"
275,EfYExaDrwhj0k611u5lYMg,"Departments of Motor Vehicles"
276,AZUCA3oiGou2wLnAYG1P6g,"Health & Medical"
277,AZUCA3oiGou2wLnAYG1P6g,Chiropractors
278,kKx8iCJkomVQBdWHnmmOiA,Restaurants
279,kKx8iCJkomVQBdWHnmmOiA,Pizza
280,B5EZlEDH6AVDk8tQGHAGqg,"American (Traditional)"
281,B5EZlEDH6AVDk8tQGHAGqg,Nightlife
282,B5EZlEDH6AVDk8tQGHAGqg,"Dive Bars"
283,B5EZlEDH6AVDk8tQGHAGqg,Restaurants
284,B5EZlEDH6AVDk8tQGHAGqg,Bars
285,bOOgAB_CEWWsxalAthnRSw,"Performing Arts"
286,bOOgAB_CEWWsxalAthnRSw,"Arts & Entertainment"
287,l5ijDMpYdyKbF0CxiCVO_Q,"Beauty & Spas"
288,l5ijDMpYdyKbF0CxiCVO_Q,Piercing
289,l5ijDMpYdyKbF0CxiCVO_Q,Tattoo
290,nJ3mXjItS8WcwhYbzbfDQw,"Watch Repair"
291,nJ3mXjItS8WcwhYbzbfDQw,"Jewelry Repair"
292,nJ3mXjItS8WcwhYbzbfDQw,Shopping
293,nJ3mXjItS8WcwhYbzbfDQw,"Local Services"
294,nJ3mXjItS8WcwhYbzbfDQw,Jewelry
295,NoxzrJbWS4xD9ft0ygD3JA,"Event Planning & Services"
296,NoxzrJbWS4xD9ft0ygD3JA,Nightlife
297,NoxzrJbWS4xD9ft0ygD3JA,Lounges
298,NoxzrJbWS4xD9ft0ygD3JA,"Venues & Event Spaces"
299,NoxzrJbWS4xD9ft0ygD3JA,Bars
300,VXH7zXcZzXlmAVN8GSjGRQ,"Imported Food"
301,VXH7zXcZzXlmAVN8GSjGRQ,"Specialty Food"
302,VXH7zXcZzXlmAVN8GSjGRQ,Thai
303,VXH7zXcZzXlmAVN8GSjGRQ,"Ethnic Food"
304,VXH7zXcZzXlmAVN8GSjGRQ,Food
305,VXH7zXcZzXlmAVN8GSjGRQ,Restaurants
306,8XQmnE-v6RrsHiqEz6QXdg,Florists
307,8XQmnE-v6RrsHiqEz6QXdg,"Wholesale Stores"
308,8XQmnE-v6RrsHiqEz6QXdg,Shopping
309,8XQmnE-v6RrsHiqEz6QXdg,"Flowers & Gifts"
310,YhV93k9uiMdr3FlV4FHjwA,Marketing
311,YhV93k9uiMdr3FlV4FHjwA,"Men's Clothing"
312,YhV93k9uiMdr3FlV4FHjwA,Restaurants
313,YhV93k9uiMdr3FlV4FHjwA,"Graphic Design"
314,YhV93k9uiMdr3FlV4FHjwA,"Women's Clothing"
315,YhV93k9uiMdr3FlV4FHjwA,"Screen Printing"
316,YhV93k9uiMdr3FlV4FHjwA,Advertising
317,YhV93k9uiMdr3FlV4FHjwA,Pizza
318,YhV93k9uiMdr3FlV4FHjwA,Shopping
319,YhV93k9uiMdr3FlV4FHjwA,"Web Design"
320,YhV93k9uiMdr3FlV4FHjwA,Fashion
321,YhV93k9uiMdr3FlV4FHjwA,"Local Services"
322,YhV93k9uiMdr3FlV4FHjwA,"Screen Printing/T-Shirt Printing"
323,YhV93k9uiMdr3FlV4FHjwA,"Professional Services"
324,w5WBrukfSuEyTjYUYlV4Ug,"Venues & Event Spaces"
325,w5WBrukfSuEyTjYUYlV4Ug,"Event Planning & Services"
326,aFBCmJUYrPeol_P75QX7Jw,Restaurants
327,aFBCmJUYrPeol_P75QX7Jw,Italian
328,F0fEKpTk7gAmuSFI0KW1eQ,Italian
329,F0fEKpTk7gAmuSFI0KW1eQ,Restaurants
330,dA7KJReGl9PMi3Tg_mBHuw,"Real Estate Agents"
331,dA7KJReGl9PMi3Tg_mBHuw,"Home Services"
332,dA7KJReGl9PMi3Tg_mBHuw,"Real Estate"
333,GX83LORhO99mdNFz9_cZdQ,Optometrists
334,GX83LORhO99mdNFz9_cZdQ,Doctors
335,GX83LORhO99mdNFz9_cZdQ,"Internal Medicine"
336,GX83LORhO99mdNFz9_cZdQ,"Health & Medical"
337,YvxQOMstU2MVDr2uNHs_vw,"Ice Cream & Frozen Yogurt"
338,YvxQOMstU2MVDr2uNHs_vw,Food
339,NVaM_cKKJT3WWyP21PANzw,"Religious Organizations"
340,dTWfATVrBfKj7Vdn0qWVWg,Restaurants
341,dTWfATVrBfKj7Vdn0qWVWg,Chinese
342,dTWfATVrBfKj7Vdn0qWVWg,"Food Court"
343,HAX1zec191t7QkT2sBZ76A,Restaurants
344,HAX1zec191t7QkT2sBZ76A,Cuban
345,HcEJ2YiSLX_mT3RE0hvKWQ,Nightlife
346,HcEJ2YiSLX_mT3RE0hvKWQ,"Adult Entertainment"
347,HcEJ2YiSLX_mT3RE0hvKWQ,"Strip Clubs"
348,VZ37HCZVruFm-w_Mkl1aEQ,Education
349,VZ37HCZVruFm-w_Mkl1aEQ,"Dance Schools"
350,VZ37HCZVruFm-w_Mkl1aEQ,"Arts & Entertainment"
351,VZ37HCZVruFm-w_Mkl1aEQ,"Fitness & Instruction"
352,VZ37HCZVruFm-w_Mkl1aEQ,"Specialty Schools"
353,VZ37HCZVruFm-w_Mkl1aEQ,"Active Life"
354,VZ37HCZVruFm-w_Mkl1aEQ,"Dance Studios"
355,VZ37HCZVruFm-w_Mkl1aEQ,"Performing Arts"
356,zdC6e26U7tS1XtWcJPKCcA,Pets
357,zdC6e26U7tS1XtWcJPKCcA,Veterinarians
358,VdlPZg2NAu8t8GkdbPLecg,Restaurants
359,VdlPZg2NAu8t8GkdbPLecg,Gluten-Free
360,VdlPZg2NAu8t8GkdbPLecg,Indian
361,VdlPZg2NAu8t8GkdbPLecg,Seafood
362,c6Q3HP4cmWZbD9GX8kr4IA,"Auto Parts & Supplies"
363,c6Q3HP4cmWZbD9GX8kr4IA,"Auto Repair"
364,c6Q3HP4cmWZbD9GX8kr4IA,Tires
365,c6Q3HP4cmWZbD9GX8kr4IA,Automotive
366,c7X2SdKxVJMaOnFROO8WEg,Pizza
367,c7X2SdKxVJMaOnFROO8WEg,Food
368,c7X2SdKxVJMaOnFROO8WEg,"Internet Cafes"
369,c7X2SdKxVJMaOnFROO8WEg,Restaurants
370,c7X2SdKxVJMaOnFROO8WEg,Caribbean
371,1nhf9BPXOBFBkbRkpsFaxA,"Breakfast & Brunch"
372,1nhf9BPXOBFBkbRkpsFaxA,Food
373,1nhf9BPXOBFBkbRkpsFaxA,"Coffee & Tea"
374,1nhf9BPXOBFBkbRkpsFaxA,"Canadian (New)"
375,1nhf9BPXOBFBkbRkpsFaxA,Restaurants
376,strJsTvTHqWS18GVJQEHoA,"Weight Loss Centers"
377,strJsTvTHqWS18GVJQEHoA,"Physical Therapy"
378,strJsTvTHqWS18GVJQEHoA,"Health & Medical"
379,e3rNvRnupvSMu6BABlDUuQ,"Pet Groomers"
380,e3rNvRnupvSMu6BABlDUuQ,"Pet Sitting"
381,e3rNvRnupvSMu6BABlDUuQ,Pets
382,e3rNvRnupvSMu6BABlDUuQ,"Pet Services"
383,e3rNvRnupvSMu6BABlDUuQ,"Pet Training"
384,QkG3KUXwqZBW18A9k1xqCA,"American (Traditional)"
385,QkG3KUXwqZBW18A9k1xqCA,Restaurants
386,QkG3KUXwqZBW18A9k1xqCA,Seafood
387,d2HSFutxpaYsCPglJPRe1Q,Food
388,d2HSFutxpaYsCPglJPRe1Q,Donuts
389,shNBn6mTKxZ124yPC_H02Q,"Kitchen & Bath"
390,shNBn6mTKxZ124yPC_H02Q,"Countertop Installation"
391,shNBn6mTKxZ124yPC_H02Q,"Home Services"
392,shNBn6mTKxZ124yPC_H02Q,Tiling
393,shNBn6mTKxZ124yPC_H02Q,Contractors
394,shNBn6mTKxZ124yPC_H02Q,Shopping
395,shNBn6mTKxZ124yPC_H02Q,"Home & Garden"
396,ZmMCgM4RCqCXJ0Lswu6yxw,"Local Services"
397,ZmMCgM4RCqCXJ0Lswu6yxw,"Appliances & Repair"
398,evwSIx2mmvpN0V0QteOAsA,Veterinarians
399,evwSIx2mmvpN0V0QteOAsA,Pets
400,pR6Fy9cP3oAzM_DtloLV5w,Contractors
401,pR6Fy9cP3oAzM_DtloLV5w,"Arts & Crafts"
402,pR6Fy9cP3oAzM_DtloLV5w,Shopping
403,pR6Fy9cP3oAzM_DtloLV5w,Flooring
404,pR6Fy9cP3oAzM_DtloLV5w,"Home Services"
405,sJ0MYSAIVK28cMzh-s-NPA,Indian
406,sJ0MYSAIVK28cMzh-s-NPA,Restaurants
407,sJ0MYSAIVK28cMzh-s-NPA,"Fast Food"
408,gSr8zPc8M4eTxwGgPb5AsA,"Smog Check Stations"
409,gSr8zPc8M4eTxwGgPb5AsA,Automotive
410,gSr8zPc8M4eTxwGgPb5AsA,"Auto Repair"
411,gSr8zPc8M4eTxwGgPb5AsA,"Body Shops"
412,oB5KH-jYU93w-QnHas6EMA,"Art Galleries"
413,oB5KH-jYU93w-QnHas6EMA,"Arts & Entertainment"
414,oB5KH-jYU93w-QnHas6EMA,"Head Shops"
415,oB5KH-jYU93w-QnHas6EMA,"Tobacco Shops"
416,oB5KH-jYU93w-QnHas6EMA,Shopping
417,gIVjdDWRnS1yDVpPF3oUeg,Italian
418,gIVjdDWRnS1yDVpPF3oUeg,"Chicken Wings"
419,gIVjdDWRnS1yDVpPF3oUeg,"Fast Food"
420,gIVjdDWRnS1yDVpPF3oUeg,Restaurants
421,gIVjdDWRnS1yDVpPF3oUeg,Pizza
422,veXxt8rGY_RJPpA5QkHT9Q,Food
423,veXxt8rGY_RJPpA5QkHT9Q,Restaurants
424,veXxt8rGY_RJPpA5QkHT9Q,Tacos
425,veXxt8rGY_RJPpA5QkHT9Q,"Food Trucks"
426,veXxt8rGY_RJPpA5QkHT9Q,Mexican
427,T5CdfrZWw-uW9Y5L_sddqQ,Pizza
428,T5CdfrZWw-uW9Y5L_sddqQ,Restaurants
429,RV_NgH8wT1TuOs2qNt1WDg,Massage
430,RV_NgH8wT1TuOs2qNt1WDg,"Massage Therapy"
431,RV_NgH8wT1TuOs2qNt1WDg,"Health & Medical"
432,RV_NgH8wT1TuOs2qNt1WDg,"Skin Care"
433,RV_NgH8wT1TuOs2qNt1WDg,"Day Spas"
434,RV_NgH8wT1TuOs2qNt1WDg,"Beauty & Spas"
435,5XejqzaFmtkZMstJS5Iy-w,Vegan
