id,business_id,user_id,stars,date,text,useful,funny,cool
---ikxExF5hcu8H6gsUizQ,s_466owgNXqmQRuSluHHEQ,dTYPv_TVl44gsdgxR2xnQA,5,"2014-09-16 00:00:00","I just fell in love with Scottsdale, Arizona and The W Hotel! Stayed here this past weekend for my first time being in Scottsdale. I will say that the love is so real that I do not plan to ever stay anywhere else. This hotel is in such a convenient location that you will never have to take an Uber any where! We were walking distance by the big mall (that I never made it to) and from all the nightlife (which of course I made it to!). As read in the other reviews, this is NOT the place for kids and families to go to and it is loud with music from all the clubs surounding this place. If you are a light sleeper, good luck! The rooms are pricey but well worth it!

PROS: 
-Cabanas are super reasonable price! On a saturday I got a day bed cabana which consisted of two day beds under a canopy right by the pool and it was only $100. Perfect for just me and my girlfriend!
-Drinks and food were great! So great that all weekend, we ate at the hotel!
-The people that work here are so friendly and so beautiful
-Pool was perfect for lounging and never over crowded
-DJ at the pool on weekends was awesome! 
-The hotel offers late check out for a small additional fee. We were able to check out at 6:00pm which was perfect because that is the time we needed to leave for the airport.
-To use the elevators you need your room key which I love to keep the creepsters out.
-The rooms were amazing and the bed was soooo comfortable!

CONS:
-During the DJ/Party times at the pool, we weren't allowed to take a nap in our paid cabana. The workers will actually tell you no sleeping. Strange! What if I wasn't sleeping and just resting my eyes! 
-Not sure when the pool closes but I do wish it was open for a relaxing night swim. Went Sunday night for a night swim and it was closed

As you can tell, there were many Pros and not many Cons! Successful hotel!

P.S. Stayed for 3 whole days and ONLY left the hotel once! Haha!",1,1,0
---nya_pjxWmNFDFyAcfsA,zQNJwaWR1M1zDjLNVJiNEw,5QOtcHU1SoqEqBCRR6FhsA,1,"2012-06-27 00:00:00","Another case of the Emperor's New Clothes.  Someone of the artsy set decided that this relatively good but overpriced fare was great pizza and all the lemmings followed suit.  Will anyone tell the Emperor he has no clothes?  The limited hours, no delivery, and lack of dining area add to the snob appeal.  Don't be taken in.",10,2,3
---OVMmOizYt30bx3-D0gA,ixGb4NLfgD90wZHlw94rLw,WH0D3U5UAtNy0X5U5ZeJnw,5,"2015-08-12 00:00:00","Went in yesterday to place an order to take home. The owner (I think) was very friendly and professional. While I waited I brought over a soft setve ice cream, which was really nice. I ordered the veggie and the Italian. Not only did the pizza's look super appetizing, they were also delicious. If you love super spicy food, try the Italian, it was real good and spicy.",6,1,5
---p28WNWGZuG6gLAt-V1w,gA2csG_QlBJy3HJBo2HXxQ,-8nmj3B-tfY_vFiimtBOsw,2,"2015-05-16 00:00:00","It has been over 4 years I have not been to Boston Pizza, but I decided to try it out again after all my other options were closed. So I know if you come to Boston Pizza you should have the pizza, but I really wanted pasta. So I ordered plain penne with marinara sauce. In the menu it says juicy fresh cherry tomatoes with fresh grounded basil and oregano with a side of frilled garlic panini bread. Let me tell you this was not the plate that was described in the menu. I swear the sauce was Classico sauce you buy at your grocery store. There was no fresh grounded basil. The bread was a grilled toast not a panini. Overall it sucked. I now remember why I did not like it 4 years ago. I will definitely not make the same mistake again.",1,0,0
---PvBlKcw1y_z72nHCcGw,evbEh0qRFWlqliHOy62c0A,r0j4IpUbcdC1-HfoMYae4w,2,"2014-05-25 00:00:00","Granted everyone raves about this place , not everyone's experience will be the same. I go to a different place for my nails but I heard good things about this place from yelp and my boyfriend who occasionally gets a pedicure from here. Since we were next door at Costco my sister had mentioned she had wanted to get her nails done for her birthday so I recommended that we go there when we were done. 

Upon arriving we signed in and waited for our turn. I decided to change the polish on my nails so I signed in for both of us. We waited about 5 min and they took me first so I got my polish changed. A few minutes later a different girl had seated my sister and started on her full set. She placed the tip on and started to cut them and then said a different girl would finish and left her sitting there. I don't mind that u needed to leave early she should have just waited for someone to complete the job one time. As I got up from the nail dryer I saw her siting there and asked what's going on. The nail tech next to her said she would finish as soon as she was done with the job she was doing but didn't and started on a pedicure. Meanwhile my sister has been waiting at least 15 min meanwhile the guy there was going to start on someone else when he noticed that she needed to have her nails finished. So he took her and finished them and then she has to go to a third person for the paint and design. 

I'm rating it 2 stars based on there  service. Granted we did come in at 5 pm and they close at 6 but they were still taking walk ins well after we came in. The wait wasn't the issue for me. I don't mind  waiting just don't have us sit down and then wait for someone to come finish the job. I would have rated 1 star but they offered me water. I'm glad my nail tech is private and I don't have to come to nail establishments like this.",5,4,3
---S_MXC9CMrOMHmS_RDVw,5T6kFKFycym_GkhgOiysIw,YItDcd3bEJAKTnb-pTwduA,4,"2016-05-19 00:00:00","The poutines are good, the strength of the place is its variety and ambiance. I wouldn't say its the best place for poutine however.",1,0,0
---uo0XC7NK0hxnmw4ha2g,2fqHO2vFbcwVV27c_Irm8Q,n-Hit0Y3O6FxTiEhdEEsZw,1,"2015-02-15 00:00:00","Came on Valentine's Day night having pre-bought tickets. We ended up waiting in line for over ten minutes (missing the beginning of our movie) because all of their automated ticketing machines were broken and they weren't properly staffed at the ticket counters. Just to pick up tickets that we had already bought!!! Seriously annoying from a theater that usually is so enjoyable.",1,1,1
---u_Of5Mg6iTfczVL79ug,gFEXxi6HYQA1Kkp8uB0xiw,4nk5Wn4ElB2oanaKscQ8pQ,5,"2014-05-07 00:00:00","This is your home town cleaners.  The staff usually remembers my name and they are always friendly.  I haven't check around to compare prices, but the price that I pay always seems fair.  It is also in a super convenient location.",0,0,0
---votkOF2sfhUkUTRyCYw,366FaRQ1MWEHBhaEKTcriQ,zh9vXKAaUAErsqxY-0mHWw,5,"2009-01-03 00:00:00","Wow, we've been missing out, should've tried this a lot sooner. Our NYE at home featured pizza and tiki drinks. My bf called for take-out (I figured it would be at least an hour wait), and they told him 20 minutes, nice! It wasn't hard to find, though definitely not in a well-traveled area. Actually, had it been across Rio Salado in the Tempe Marketplace, we would not have tried it, because I HATE HATE HATE Tempe Marketplace, but that's another story. 

We got the thin crust option with italian sausage, mushrooms and olives. So good!! like other reviewers said, the sauce is unbelievable. I wish I knew their secret. 

What a great find in our (relative) neighborhood. I can't wait to try Spinato's again.",0,0,0
---WDP9kwKyVQiw9GTgNmQ,3kdSl5mo9dWC4clrQjEDGg,tRXe5HRTDsUNqL3yNSquMw,1,"2014-03-17 00:00:00","2Nd time eating here today.1st time was great but now i dont think so. My husband ordered chicken fried steak. The gravey tasted very strange. He scraped most of it off & continued 2eat. I ate1/2half of 1 of his hashbrown paties which had some gravey on it . W/in 30 mins i threw up ,w/in 1hr he also did the same & has not stoped all day vomiting.  I finally called & spoke 2a manager, the lady was nice &suggested  i call the operarions manager. I said no . but u need thow that gravey shit away!!",0,0,0
---z1dGqzrcq_MD5mE-dqA,XI3iNUgChOfJk5ppjKVEQQ,o2nV6JuhnaEyPE0k2M1y0Q,3,"2015-08-11 00:00:00","Very small but cozy restaurant. I liked cocktail menu made with a real book as a part of cover.  Cocktail was good (I asked something like mojito which wasn't on the menu) but not out of the world...

I thought pasta was overpriced.... same for mashed potatoes.. I guess the flavor of food was pretty well-balanced but not very memorable..especially for the price.

Complimentary bread was warm and OK.",1,0,2
---zHMCae68gIbSbtXxD5w,4RoTEeqB_MNn6yaqZmlZHg,rypcWiSNGM0suWsiSLh9xA,4,"2015-08-29 00:00:00","From 8/22/15 

The Regal 18 is located in Village Square, which is super convenient because it's perfect for a date night since there are so many restaurants in this plaza. 

When you walk in here, it's your typical standard theater with a concession stand, two sides for the multiple movies that are playing, and vending machines with candy. 
The ticket takers in the front check your bag before letting anyone in the theater. Honestly, I am okay with that, with all the craziness going on at movie theaters these days it's better safe than sorry.

The seats don't recline back, but they are comfy. I think they made the seats non-reclinable to cut down on the douchebag factor, you know, people who kick their seats backs so far they are practically in your lap. 

The movie screen is huge, so no matter where you're sitting you will still have a good view of the flick you're watching.
The Regal 18 movie theater might become my go to place to see a flick since it's so convenient and in a plaza where I can shop.",3,1,1
---Zx9mUxJlC6VP38INJNg,j-WyPKVDSn4WGX1YE5oy6A,27T4_n9GyhIBHeI-51OgCA,5,"2017-08-28 00:00:00","Tara has been a great resource during my pregnancy! We feel so confident and prepared for birth. Thankful we found this class and recommend it highly!!!",0,0,0
--007YIsRSNb33JY0dyqpg,p3YqOYELqXtLyHz9T49p_w,tJlsvyij1G8e8e1onQ4yBQ,4,"2011-08-29 00:00:00","Super good food!
My friends and I ordered 2 lbs of shrimp, 2 lbs of crab legs, 2 Cajun fries, sweet potato fries, calamari, and fried catfish!

We ate it allllll up.

My only concern was that the crabs were a bit difficult to crack but then again I'm used to cracking the Alaskan crab legs.

But other than the difficult cracking, the mix of all the seasonings was just a great fusion of flavors to really individualize their seafood from anything I've ever tried.

And it was not primetime when we went so service was pretty fast!
Hope they're on top of their game when it is busy!",1,0,0
--01ogTXqLH2TzILZfrEYw,kJAmLFgiIjtjULunpr3NNg,_VO8DxfrQk8edRyrHQNsPg,5,"2014-08-04 00:00:00","Wow i don't get all the bad reviews.

I came with 2 friends and had the most amazing meal ever. We just stopped by on the quicks and glad we did. I would say this place is kinda pricey, but i can't complain.

I simply had 2 tiger rolls and breaded chicken wings. OMG sooo GOOD! The wings were marinated perfectly and also the sauce that came with it was very good. 

We had an awesome server (Joey) and we were well taken care of. We simply sat at the bar and watched the chefs do their work. Although, if i were to come next time, i would simply sit at a table. I kind of like my privacy when talking and that you won't have when the chefs are 3ft away from you. 

Price for tiger roll i believe was $24 and for the wings $20. So would i come back? Hell Yes!",2,0,0
--03fUVGimHb46r8XKjn2A,TTDMJetAQKfxVzKZy4Z_2Q,3q6AU-YWv_ORyZaxelasTg,1,"2017-06-27 00:00:00","Allegiant is a disaster.  Their fares are cheap, but not cheap enough.  Our flight out of Las Vegas was scheduled to leave at 11:00 am.  We boarded and were told to de-plane because of an electrical problem.  After four hours, we get back on, only to be told that the problem hasn't been resolved.  Off again.  Eventually, we're told they are getting us a different plane and that we will take off at 6:00.  We'll see.

The issue is not that there was a problem with an Allegiant flight.  The issue is the consistency with which this airline has problems.  I do not believe it is an exaggeration to say that half of its flights are delayed or cancelled.

Update:  6:30 pm and the boarding estimate is now 7:50 pm.",1,0,0
--042zgIbstRgNwP5sUX8w,F73T-N5lRNL2Gcpg0Q4KKw,rP52cGbn2tYgFml1rin8gQ,5,"2017-07-27 00:00:00","The food here is fantastic and the service is exceptional. Certainly a 3.5 star "diamond in the rough!" I can't wait to dine here again!",0,0,0
--04HOM-bCCdrqOsnlHS7w,2lAvN0x40Sgg5-rG8WEj3w,aijqEj44Y9BrxUSF2lCpPA,2,"2016-02-04 00:00:00","I went here twice and after leaving with a "eh" feeling after both visits decided it was time to switch to another dermatologist.

My first visit I specifically requested Dr. Woodson herself after reading a lot of neutral to negative reviews for her PA and NP. After filling out a ton of paperwork (most of which was not very welcoming- I think I signed about three different forms promising I would definitely pay my bill or be sent to a debt collector. I get they want their money, but what a way to greet your new patients!) I went into the exam room and lo and behold PA John Notabartolo walks into the room. Since I was already there I just went with it. He examined my skin (I went in for some mild adult acne) for less than ten seconds, told me basic skin care advice that I've known about for years, and then wrote me some prescriptions. The whole visit with him lasted about three minutes. No real suggestions or overview of my current skin care regime, no explanation of the possible cause of my condition or what level of severity it was. Basically the only thing I couldn't have found on my own online was the prescriptions.

As another reviewer noted, they tend to prescribe the newest brand name drugs and of course both of mine were brand name and expensive! Thankfully my insurance covered mine with a reasonable co-pay, but definitely double check with your insurance before getting them filled. The prescriptions did help my skin, which was awesome. I went back for a follow up as they'd requested to see me in a few weeks and after waiting for over forty minutes past my appointment time was taken back with very little apology for the wait. Again another three minute visit with the PA with another very hurried skin examination and I left wondering why I'd wasted two hours of my time and another doctor's bill.

Only one lady at the front desk was very friendly; everyone one else in the office seemed less than thrilled to be there. They did call with appointment reminders, which was nice, however the first time they left a voicemail with the time but not the date, and the second time they left a voicemail with one time and then called back and left another voicemail with a different time. Their bills also have the quickest due date I have ever seen. They give you 10 days from when they print the bill until the due date- but they seem to take 1-2 days to mail the bill (so 8 days left), plus 1-2 days in the mail (6 days left), so by the time you get it you have about 4-5 days to get it in the mail to make sure it arrives on time. You better hope you're not on vacation when they send the bill!

The last in the chain of events to make me move on to a new doctor was when I called to reschedule my third appointment and was put on hold for 7 minutes and then was greeted by a bored sounding woman who barely apologized for the wait. Instead of rescheduling I just asked her to cancel. I hung up and smiled as I realized I'd successfully broken up with my doctor.

Nothing this office did was horrible, but nothing they did was great either. The little moments of what I consider mediocre medical care and blase customer service just added up for me to the point where I didn't want to deal with it anymore. There's plenty of dermatology offices in this city and given the low reviews dating back for years I feel like this office isn't that interested in improving their business- so I'll just take mine elsewhere.",12,0,0
--096Ajil4RQtvH4silZng,LkcGDfznt-QzjL22fO3F4Q,2VfgTeoUW_TUU90O-qn9dQ,1,"2014-07-02 00:00:00","I ordered White Fries and it had a hair in it! Didnt eat any of them. I also got a Philly chicken and the meat was very dry and the hoagie roll was way over toasted. Not impressed.",0,0,0
--0cG7333uMi-sr_3tWhGQ,tqdL7aLotkmKIMHCczo3Ew,0sDgdeKJPGr_2WioaXjBsQ,3,"2017-10-21 00:00:00","Average B-dubs but better than most around NEO. Stopped in tonight before the Lutheran West FB game and everything was good. The orders for our party of 8 came out hot, reasonably fast, and most importantly...correct. The service was also really good for being as busy as they were. I still think b-dubs is overpriced though. We really only come here bc it's convenient before football games.",0,0,0
--0cKK_pJr0I9lk82aeQcQ,WYw3Uf56DT5IwpaLNnCH5Q,Vkf4e4SLFm3gApONFnWk7Q,4,"2013-12-03 00:00:00","I booked a deluxe suite in vdara for this past weekend for two nights and I realllllllly like this hotel. 

I was a little worried at first because it is a little off the strip behind cosmo but honestly, its not an issue at all. You can walk through cosmo super easily and get to the strip and everything else. And if you can't you were probably going to cab it anyways.

I love modern and clean and windows and open space. And this weekend when I came they already had up their christmas decor which I also loved! It made me feel so happy!!!!! :D 

The suite opened up and theres the kitchen area with the microwave, sink, refrigerator and stove. (Lets be real we weren't actually gonna cook ) but the fridge is good for storing alchyyy ;)

I liked this room bc we had a few girls in there and they had plenty of mirrors both full length and normal. The bathroom was nice. a separate tub and shower with a sliding door. to separate it from the bedroom. The couch turns into a sofa bed as well so you could fit 5 girls in there somewhat comfortably. Our room was a freaking mess though hahaha. 

Will be back in two weeks! woot!",1,0,0
--0e6CLC1aWYdx5j22F3sw,hihud--QRriCYZw1zZvW4g,L-IyEbLgcQISlsZFMMmy2g,4,"2016-06-04 00:00:00","I like the food, it was really fresh. The service was also on point and it was a full house. The beef is really good, any of them. The fried rice feeds about 3 ppl. I love this place, I come here often. And always bring ppl here who come to Vegas to visit, they all love it. The price is also very reasonable. For 2 ppl I usually spend about $40 but leave STUFFED.",0,0,0
--0euTrqfqkI4OO0BXNhvQ,WNsimvxr-0NimM57I5gj4A,Om7ISWgh1olTte39tENBlQ,4,"2016-02-23 00:00:00","Pasión por Arnalado. Tengo una amiga que vive cerca y cada vez que voy a su casa es visita obligada.

La relación precio-calidad es una cosa increíble. No existe, en serio. Febrero 2016 y el kilo está 130 pe. La heladería está a la altura de las grandes marcas y los precios parecen del 2008. 

Eso sí, hay que ir preparados porque se llena y mucho. Un día de calor puede haber cola hasta afuera y seguir toda la cuadra. Pero no se desesperen, porque Arnaldo es taaaan groso que te atienden rapidísimo, avanzás enseguida y, de todas formas, la espera lo vale!",5,2,3
--0FCNjk2NnZ2aUji5QYBg,16tWXenJ1wTqugXJU7yiZg,QqF3cU-IkgmNNRxHwKIZ2w,5,"2015-12-27 00:00:00","Every time I come here the food is perfect !!!!! One of my favorite sushi spots in vegas! They make it right every time always happy to come here",0,0,0
--0HGAKbW8d3myUr0VMNiw,omScOGJlpuxa3JZtPc8CNg,WrLe80KxpEoV9aiZMR5fvA,5,"2017-04-14 00:00:00","Very nice seats, the sound is ok, good prices I still prefer the theater out in Robertson or even lowes",1,1,1
--0kuuLmuYBe3Rmu0Iycww,HVg-pAPpQ1Y5VdWMK_Aemg,VqAZK9q8ybyiZMdQI8Ce8A,3,"2008-07-19 00:00:00","This show wasn't super extravagant but Lance Burton is one of the classic icons in the magian world.  He's funny and entertaining.  This is just one of those shows that you should do once on one of your vegas visits.  When i watched the show there were a lot of kids in the audience and a couple of loud drunks so be aware of your surroundings :o)",2,1,1
--0lKeKQHBYT6Wh6ziEmqQ,J5ylw6DXGmQ6hM06Ne3XHw,nq6zoRgcesFA46TefSDP6Q,5,"2015-04-09 00:00:00","This place has an awesome vibe. Brett Rubin's B-day bash this Sat nite after 11, with Brett spinning! A must attend... Brett is the best in LV for deep House & TechHouse.

Plus the grill is open, and Lando and Gabe promise an awesome experience. You've been warned; miss this one and you'll kick yourself! He spins at DISTRIKT.",0,0,0
--0pfY3vQilgl20btE0fVQ,5BPv_vAnRp5EKdmacqvrLw,wbYWgTS-vzgfVYV_C1qhig,4,"2013-05-19 00:00:00","An absolute favourite of mine....I don't understand why this place isn't getting better reviews. I love love Thai food and Pi Toms does it better than any place I have ever been to, hands down. 

I usually order Pi Tom's own version of Pad Thai....they also have a 'Traditional' version too but I prefer the restaurants own and it is delicious. The ingredients for both dishes are practically the same but Pi Toms dish uses a lighter, more subtle sauce (not ketchup like most traditional pad thai dishes) leaving the flavours of the other ingredients to be fully appreciated. They give pretty decent portion sizes....I rarely finish the entire thing but makes for a great lunch the next day...

The mango salad here is to die for! Really fresh ingredients makes this salad extra special and they use a delicious sweet dressing. 

There are many Pi Toms around Toronto but this one is my personal favourite...its on a nice, fairly quiet street just off Yonge and Wellesley , and has a cute patio complete with romantic lighting, perfect for a dinner date or a relaxing night with a friend. 
 
Great service, great place, even better food... what more can you ask for?..",5,2,3
--0PPhDkViYQ6-FB95qR3g,VoXUt6TIJWyIf_lihbN5xQ,QCZ1k758QE8d7mmMefS43g,5,"2016-12-02 00:00:00","Oh my.. I had the best meatball sandwich I've ever had in my entire life at this restaurant. We were visiting only for a few days and I wish they had another restaurant like this local to me here in Virginia. This was a five-star place in my opinion. I loved it. Everything was delicious",0,0,0
--0Ro9C6I9ZB7vmL4ZwDrg,OETh78qcgDltvHULowwhJg,ryZDoDERFu8pvKNrL0r2gQ,5,"2017-07-22 00:00:00","My husband and I went here on our honeymoon to enjoy a nice dinner, not to mention that we both love chef Ramsey. Eating at one of his restaurants was a bucket list item for us. We were not disappointed at all.  The food was beyond perfection and the service was spot on!!  The beef Wellington and vanilla cheesecake were to die for. If I could give Gordon Ramsey Steak in Las Vegas 10 stars I would!!",0,0,0
--0RrdW5mtHa-Oeyzy4RjQ,NKm5pBzfks9gznBXs9KqvA,QLAJZCXS1CEjBOl9aEQENA,5,"2016-07-29 00:00:00","Wow! This place is awesome. Everyone is so nice and helpful. The clean Checkup juice is amazing as is the daily dose shot. Great for anti-inflammatory and immune system. The #2 available bowl is also amazing! We were going to share one and decided it was too good and got our own.",0,0,0
--0soJKedjj2GqdEteHOrQ,b5ECorQloTnA9WLF7UCfxg,skN5m81T9YoqYwP02rBr5w,2,"2012-03-20 00:00:00","We have been going here for several years and every time the only thing consistent is the rude staff behind the front desk.
My grandson was visiting from Cali for spring break and wanted to go bowling yesterday.  I am on their email list and had received a coupon for two hours of bowling with shoes, food, etc for $7.99.  I asked for the special rate and was very rudely told that it doesn't apply during spring break and that lanes were $3+ and shoes were $4.50.  When I asked about who has spring break now he rudely replied Paradise Valley schools.  Really????  This was Scottsdale, wtf?
So I paid over $30 for three of us to bowl.  When I asked for two lanes (one w/ bumper for grandson) he acted really put out.
We had a good time, but both my daughter and myself have our own shoes and I felt ripped off and hate rude workers, so I was mad.
Then afterwords we went to the game part of the place and almost every game was broken or did not give out tickets.  My grandson wanted to play ski ball he loves and they were broken too.  Of course the desk people could care less.
We will not be going back here again. Too many times they have treated us like crap and I would much rather take my money somewhere else where I am appreciated and provides even some sort of customer service.",3,1,1
--0SXSdkEmdAzvg7A7SlUw,UXXAzmuz2olKSpte9eF4Vw,9CRqK1hqtMXl0t7rqfwQpw,4,"2015-03-06 00:00:00","I had never tried Colombian food before, so I wasn't sure what to order.  (My palate is as American as it gets.)  The staff was very helpful, and I decided on the Churrasco de Pollo.  It was savory and delicious, the side of plantains added a mildly sweet twist, as well.  I will certainly eat there again.  The food is prepared while you wait, so it's best to call in your order.",0,0,0
--0td6Iu4ugyZg-WmpNL1g,y7Js-07RF8d3N_AEtaw2VQ,XjHd_cbmGn_4rVbrVKoX3A,3,"2014-12-30 00:00:00","A word of caution! Don't use their ATM if you have  a credit union. My Fiancé and I visited last Saturday. We expected to grab a to-go burger, just to say we tried it. We ended up staying over an hour and having an absolute blast. Nurse Stephanie was fantastic. She is perfect for her job and went above and beyond for us. The food was amazing, although, if you are not used to the grease, be careful (if you know what I mean). The only reason I gave 3 stars is, when I tried to take money out of the ATM, I got an error message. So my Fiancé used his card and we thought everything was fine. Come to find out I was charged for the money I never received. I contacted the grill and am waiting to hear back, hopefully we will resolve this quickly and I can up my review to 5 stars!",1,0,0
--0u9RVbd3H70LLlVluXvQ,MIC41W--fEbl25WKkReC3g,FqVfTZ1FPaVsymLmfDK6tg,5,"2015-04-29 00:00:00","This is a great place to get affordable  workout clothes and shoes. Everyone is really down to earth and helpful. My favorite part of the mall.",0,0,0
--0ujpOmgEbOXQ1M2hVdnw,4JNXUYY8wbaaDmk3BPzlWw,jyfOcCWGvbhNwyKua7f4VQ,5,"2017-07-28 00:00:00","Most romantic spot in LV. Great for people watching. Nice menu and very good food and service. A must if you come to Las Vegas.",0,0,0
--0uqWanwN31OkuuwJ1zjQ,naPGOTVEpRZavvn9-sFg8A,N5hBHRZYjYkqnvF9FVXy7w,4,"2014-08-15 00:00:00","For a quick lunch, grab the sides! Chicken is well peppered, salad is crispy and cold. Only reason it's not five stars is because I haven't tried any main dishes! But I do want to... to be continued...",0,0,0
--0V3t1kZtuByFSEXKe5RA,WQIvHDD4hNa8SDVxdQt56w,LoKOWvUpjWsx3emo5B4g4g,4,"2009-12-17 00:00:00","Came here for my first Yelp Office Hours last Thursday. I was very impressed with the layout of the place. It is very open and you don't feel like you are sitting on top of the stranger next to you. I feel like most coffee shops are really small and claustrophobic, ie Starbucks.  Lola's bucks that trend.

Dallas G, Richard Z and I decided to make a cameo here before our #ThaiThursday at Yupha's.  I didn't want to ruin lunch with a coffee, so I went with a yerba mate tea.  It wasn't served the traditional way with a bombilla, but it still tasted good.  The Yelp group occupied a large table in the center of the space.  Good conversation was had by all and new friends were made.  Sarah G brought some baked goods that knocked my socks off.  I have already requested that I get cookies sent to me on a weekly basis. Crosses fingers.  I will surely be returning and I heard they are opening a second location at 3rd Ave and Roosevelt.

Thanks Gabi for picking up the tab.  Can't wait to make the next Office Hours.",3,1,2
