id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open
-1uVyyy3UXNA9WoPucNniA,"La Tapatia Market",,"8826 S Eastern Ave, Ste 100","Las Vegas",NV,89123,36.0291,-115.117,5,15,1
-1vfRrlnNnNJ5boOVghMPA,"Red Ginseng Narita Sushi & BBQ",Centennial,"6630 N Durango Dr, Ste 180","Las Vegas",NV,89149,36.2813,-115.287,3,75,0
-20PsGUoi0cK3hKwtFoh2w,"Graceland Presents Elvis",Eastside,,"Las Vegas",NV,89109,36.1363,-115.151,4,4,0
-28hEE6AcAUbJctGwvC9kw,"Culinary Pharmacy","The Strip","1945 Las Vegas Blvd S","Las Vegas",NV,89104,36.149,-115.154,5,6,1
-2hDBMaza_ldqnZdiU06LQ,"South Cove Apartments",Downtown,"1525 Fremont St","Las Vegas",NV,89101,36.1643,-115.128,3,5,1
-2L-SXb6OTKdmUkmEb1JAA,"Sorrento Villas",,"3580 E Alexander Rd","Las Vegas",NV,89115,36.2335,-115.097,2.5,3,1
-2P-_PVX-FtTKT2h1y5WMQ,"Eric Andrew Collection At Town Square",Southeast,"6623 Las Vegas Blvd S","Las Vegas",NV,89119,36.0669,-115.177,5,4,1
-2QGc6Lb0R027lz0DpWN1A,"Davis Glass and Mirror",,"5135 S Valley View Blvd","Las Vegas",NV,89118,36.0966,-115.19,4,48,1
-2S3tYZEy-JbQonqdIsfqg,"Epic Thrift",,"4001 S Decatur Blvd","Las Vegas",NV,89102,36.1183,-115.21,3.5,17,0
-2ToCaDFpTNmmg3QFzxcWg,"Showtime Tours",Downtown,"1550 S Industrial Rd","Las Vegas",NV,89102,36.1547,-115.159,1.5,445,1
-2UBRY9opzc4GmCX3DBDdw,"Red Rooster Antique Mall",Downtown,"1109 Western Ave","Las Vegas",NV,89102,36.1584,-115.159,3,6,0
-2ym8gLGnYV5uEgyMXnL7A,"Amazing Las Vegas Comic Con",Eastside,"3150 Paradise Rd","Las Vegas",NV,89109,36.1325,-115.155,4,21,1
-2_l2p8bdI91G3-EIjSikg,"Adore Organic Innovation","The Strip","3200 S Las Vegas Blvd","Las Vegas",NV,89109,36.1275,-115.172,1.5,17,1
-33vxPJAFP4wWiNdMqzz0w,"Vapor II","Spring Valley","5455 S Fort Apache Rd","Las Vegas",NV,89148,36.0899,-115.298,3.5,3,0
-38Kck4mGlkBwd6OXayZRg,"Now and Zen Massage Therapy","Spring Valley","4235 S Fort Apache Rd, Ste 100","Las Vegas",NV,89147,36.1122,-115.298,5,34,1
-3bL-QmK7-qBYLmQuSekBw,"Impressions Tile & Marble",Southwest,"9821 White Lilac St","Las Vegas",NV,89178,36.0101,-115.293,5,4,1
-3H_6UZGWrfl8XQsm1fBmw,"AL's Donuts",Eastside,"860 East Twain, Ste 102","Las Vegas",NV,89169,36.1193,-115.146,2.5,7,1
-3wWjEQfVxRaCQG-PuKRMw,"Angels Carpet Care",Eastside,,"Las Vegas",NV,89112,36.1,-115.07,5,5,1
-3zffZUHoY8bQjGfPSoBKQ,"Michael Mina","The Strip","3600 S Las Vegas Blvd","Las Vegas",NV,89109,36.112,-115.177,4,590,1
-46pFijv3f2jZH-_Ze6CQA,"Vegas Uncork'd: The Grand Tasting","The Strip","Caesars Palace","Las Vegas",NV,89108,36.1154,-115.178,4,20,1
-47QfLVm0YvbXXz8g3RAQA,"Premier Baseball Academy","Spring Valley","5752 S Fort Apache, Ste 125","Las Vegas",NV,89148,36.0845,-115.297,4,7,0
-4awmS8e1IYuVbv60Ebh7Q,"Carquest Auto Parts",Westside,"2111 S Rainbow Blvd","Las Vegas",NV,89146,36.1481,-115.244,4.5,3,1
-4gwgdvSq_PqOmHb70au8Q,"Christian Audigier The Nightclub","The Strip","3300 S Las Vegas Blvd","Las Vegas",NV,89109,36.1245,-115.172,3,80,0
-4QqBR3QGhnjPBXV471EUg,"Xpand Realty & Property Management","Spring Valley","5920 S Rainbow Blvd","Las Vegas",NV,89118,36.081,-115.242,5,27,1
-4QZ2rjJMD6tenizjprC1Q,"Pro-Tech Transmission and Complete Auto Repair",,"5370 S Decatur Blvd","Las Vegas",NV,89118,36.0921,-115.207,4.5,8,1
-56ZkB6BOOQLf_sU0DCzbQ,"Summit Consultancy Group, CPA","Spring Valley","4730 S Fort Apache Rd, Ste 220","Las Vegas",NV,89147,36.1032,-115.297,5,3,0
-5gSPcauy5_JCQeHiJgFmw,"Sam's Club Optical","Spring Valley","7175 Spring Mountain Rd","Las Vegas",NV,89117,36.1242,-115.248,2,3,1
-5x1wc0KdABF2kfnqw-ZxA,"Xelement Music & Dance",Westside,"9440 W Sahara Ave, Ste 150","Las Vegas",NV,89117,36.1455,-115.301,5,4,0
-6AFQalhxzBHv6flajuo_w,"Best Beauty Salon",Westside,"3620 W Sahara Ave","Las Vegas",NV,89102,36.1457,-115.19,3.5,19,1
-6g2TeogX9CCeJfU7nNKWQ,"Estilo 5",,"4585 W, Fl amingo","Las Vegas",NV,89147,36.1154,-115.217,5,6,1
-6gD8mJAEFI-YbUBygjO8A,T-Mobile,Chinatown,"3993 Spring Mountain Rd","Las Vegas",NV,89102,36.126,-115.193,3,4,1
-6SFHn0zEW06XgNCKVgQjg,"Sun Shade Window Tinting",Westside,"2535 S Torreypines Dr","Las Vegas",NV,89146,36.1432,-115.234,4,16,1
-74zTQjLpOTzgvPTsN2Z8A,"WellHealth Women's Specialty Care",Centennial,"6850 N Durango Dr, Ste 310","Las Vegas",NV,89149,36.2858,-115.285,3,21,1
-8aBkRmrbxnBwXEYLXwzOQ,"Star Locksmith - Las Vegas",Westside,,"Las Vegas",NV,89117,36.1453,-115.278,1,3,1
-8O4kt8AIRhM3OUxt-pWLg,"Warrior Wraps",,"5725 S Valley View Blvd, Ste 5","Las Vegas",NV,89118,36.0858,-115.19,4.5,34,1
-8oefCbONloutvAy9uTa-A,"Malik Edward J, OD",Westside,"2261 S Rainbow Blvd","Las Vegas",NV,89146,36.1463,-115.243,5,3,1
-8R_-EkGpUhBk55K9Dd4mg,"Sin City Thai Restaurant",,"4850 W Sunset Rd, Ste 115","Las Vegas",NV,89118,36.0725,-115.207,3.5,105,1
-8ZiMXZReeTD3kwEvS0Lww,"The Butcher Block",Centennial,"6440 N Durango Dr","Las Vegas",NV,89149,36.2778,-115.287,4.5,114,1
-90qod_jZOmv7YR2lTklGA,"StorageOne Durango & US 95",Centennial,"7580 Oso Blanca Rd","Las Vegas",NV,89149,36.2973,-115.289,5,6,1
-91Z36AdTmzIzgtMWstj8Q,"Ticor Title At Tivoli Village",Westside,"410 S Rampart Blvd, Ste 330","Las Vegas",NV,89145,36.1672,-115.286,3.5,7,1
-95mbLJsa0CxXhpaNL4LvA,"The Perfect Scoop & Boba Tea",Southwest,"7377 S Jones Blvd, Ste 115","Las Vegas",NV,89139,36.0553,-115.226,3.5,609,1
-9Ir5OiFiOszIgeFgalXcw,Starbucks,,"3700 W Flamingo Rd","Las Vegas",NV,89103,36.1179,-115.187,3,37,1
-9jY8blpTgfqDIkVWlE0NA,"Huntridge Circle Park",Downtown,"1251 S Maryland Pkwy","Las Vegas",NV,89104,36.1563,-115.137,2.5,3,1
-9k9fJp0g777juhHYyrMPA,"Chinatown Foot Reflexology",Chinatown,"4255 Spring Mountain Rd","Las Vegas",NV,89102,36.1273,-115.198,3,26,1
-9oV083HMbCnMVmFtPgFMw,"Hand In Hand Preschool and Early Development Center",Southwest,"10760 S Buffalo Dr","Las Vegas",NV,89179,35.9937,-115.261,4,10,1
-9y2L9qSbqukVl8LzEOGdg,"Wooly Wonders",Southeast,"3421 E Tropicana Ave, Ste I","Las Vegas",NV,89121,36.0994,-115.1,3.5,11,0
-9yq6bVqOn6Uywl9KhRToA,"Plumbing Kings",Southwest,,"Las Vegas",NV,89141,35.9706,-115.307,5,104,1
-9YyInW1wapzdNZrhQJ9dg,"Fresh Buffet",Eastside,"3000 Paradise Rd","Las Vegas",NV,89109,36.1363,-115.151,2.5,171,1
-A5jntJgFglQ6zwAmOiOMw,"Baymont Inn And Suites Las Vegas",Eastside,"4055 Palos Verdes St.","Las Vegas",NV,89119,36.1156,-115.151,3,55,0
-a857YYdjzgOdOjFFRsRXQ,"Beer Park","The Strip","3655 S Las Vegas Blvd","Las Vegas",NV,89109,36.112,-115.172,3.5,334,1
-AD5PiuJHgdUcAK-Vxao2A,Smashburger,University,"4725 S Maryland Pkwy","Las Vegas",NV,89119,36.1037,-115.138,3.5,274,1
-ADtl9bLp8wNqYX1k3KuxA,"Ichi Ramen House",Centennial,"7920 W Tropical Pkwy, Ste 170","Las Vegas",NV,89149,36.2716,-115.268,4,165,1
-AETcObKttrnDvksrppnLA,"My Angels Touch",Westside,"4033 W Sahara Ave","Las Vegas",NV,89102,36.144,-115.196,1.5,8,0
-Ag8JiHlShYxx0KBHZfXVw,"Harb Mouchir S MD","Spring Valley","5380 S Rainbow Blvd, Ste 200","Las Vegas",NV,89118,36.0911,-115.241,1,3,1
-AGdGGCeTS-njB_8GkUmjQ,"Woo Chun Korean BBQ",Downtown,"953 E Sahara Ave","Las Vegas",NV,89109,36.1437,-115.142,4,8,0
-Ao1BuPOWM-Eb6F_M27fNQ,"Advanced Medical Hair Institute","Spring Valley","8945 W Russell Rd, Ste 320","Las Vegas",NV,89148,36.0842,-115.287,5,3,1
-aQJUU104Sc9vuAV_EtXrA,"Advanced Litigation Services",Downtown,"320 E Charleston Blvd, Ste 105","Las Vegas",NV,89104,36.1586,-115.15,4.5,6,1
-AUh0iDyhLV6OfXloHPl0Q,"Krave Massive",Downtown,"450 Fremont St, Ste 370","Las Vegas",NV,89101,36.1701,-115.141,2,9,0
-AxKgZHxyV-oBBHNyOESAg,"Las Vegas Collision Center",,"4705 W Post Rd","Las Vegas",NV,89118,36.0752,-115.205,5,147,1
-B1PzLYsOSL9rda--Wr7tQ,"Flare Bar",Southwest,"3333 Blue Diamond Rd","Las Vegas",NV,89139,36.0419,-115.185,4,4,1
-b6ANE1W9ZH0g3EdQl7Hsg,"Urgent Dental",Southeast,"500 E Windmill Ln, Ste 130","Las Vegas",NV,89123,36.0429,-115.152,3.5,34,1
-B9eO9xH6yTU93_BEWUhmA,"LV Floor Restoration",Southwest,,"Las Vegas",NV,89178,36.0457,-115.313,5,5,1
-BAOJ8aA5MCrYx_tQUyZHg,"The Neapolitan","The Strip","The Cosmopolitan, 3708 Las Vegas Blvd","Las Vegas",NV,89109,36.1101,-115.174,4.5,24,0
-BddEiLOykIwvIafAVGFnQ,"Lash Dolls LV","Spring Valley","7355 S Buffalo Dr, Ste 5","Las Vegas",NV,88113,36.0559,-115.281,5,7,1
-Bf8BQ3yMk8U2f45r2DRKw,"In-N-Out Burger",,"1960 Rock Springs Dr","Las Vegas",NV,89128,36.1957,-115.247,4,160,1
-BFKA4HVeRoR1uObH0JpJw,"One Love Vapors",Northwest,"6814 W Cheyenne Ave","Las Vegas",NV,89108,36.2187,-115.243,4,22,1
-blcoBWe_z8B2I9XVESvjQ,"The Nutty Boba",Eastside,"3528 S Maryland Pkwy","Las Vegas",NV,89109,36.1249,-115.135,3.5,3,0
-BmqghX1sv7sgsxOIS2yAg,"Merkato Ethiopian Cafe",Eastside,"855 E Twain Ave, Ste 111","Las Vegas",NV,89169,36.1216,-115.145,4,186,0
-boDId8zTvrgPwdlYYpWzg,"Ethan Allen","South Summerlin","1770 Festival Plaza Dr","Las Vegas",NV,89135,36.15,-115.333,2.5,10,1
-boNHP3clSwzToiLWQrBUQ,Supercuts,Westside,"9811 W Charleston Blvd Ste 3, Hualapai Commons","Las Vegas",NV,89117,36.1579,-115.312,3.5,16,1
-bPAFwn67UqH07aw7kLsQg,"Beatrice A Stark, DDS - Enhance Dental",Summerlin,"8551 W Lake Mead Blvd, Ste 260","Las Vegas",NV,89128,36.1981,-115.282,4.5,16,1
-BS4aZAQm9u41YnB9MUASA,Argana,"The Lakes","8615 W Sahara Ave","Las Vegas",NV,89117,36.1429,-115.28,4.5,75,0
-BS5c6tvU9gc3JAwopiXtA,"Beauty in Vegas",,,"Las Vegas",NV,89101,36.1697,-115.124,4,15,1
-Bv-HHUs8aHzDrdWcZHn8w,Smashburger,"The Strip","3570 Las Vegas Blvd S","Las Vegas",NV,89019,36.1162,-115.175,3,70,1
-byybpV9bP2k0aJ6-WhiBA,"Pressed Juicery","The Strip","3730 S Las Vegas Blvd","Las Vegas",NV,89158,36.1073,-115.177,4.5,46,1
-C8sSrFqaCxp51pyo-fQLQ,"The Rice Shop","Spring Valley","3655 S Durango Dr, Ste 9","Las Vegas",NV,89147,36.1231,-115.28,4.5,128,1
-CbDQXiuKzPQ0_jiUz03aw,"Taiga Modern Japanese & Thai Restaurant",Southeast,"3130 E Sunset Rd, Ste C","Las Vegas",NV,89120,36.0719,-115.107,4,50,0
-Cc-TvbgYzD1rhNRSIuMfg,"Serenity Spinal Care","Spring Valley","9330 W Flamingo Rd, Ste 112A","Las Vegas",NV,89147,36.1161,-115.294,5,20,1
-CC1wZQ19hO3ol2JDeGA3w,"Delectable Hair Designs by Marcella",Northwest,"3211 N Tenaya Way, Ste 110, Blend Salon And Spa","Las Vegas",NV,89129,36.2198,-115.252,5,19,1
-CdstAUdEvci8GeJG8owpQ,"Motors & More",,"2950 S Highland Dr, Ste A","Las Vegas",NV,89109,36.1362,-115.173,5,7,1
-ceHkPLJvaeNEPMQYIOQwA,"Victor E Cohen MD",Eastside,"4445 S Eastern Ave, Ste A","Las Vegas",NV,89119,36.1085,-115.12,4.5,11,1
-cEm3lF3pLuVNJvT9mV4Dg,"Doggie Stylz Grooming",Centennial,"8400 Farm Rd, Ste 110","Las Vegas",NV,89131,36.2995,-115.279,4,58,1
-CHzSNANra-TCIWYFfpR0Q,Macy's,"South Summerlin","2075 Festival Plaza Dr","Las Vegas",NV,89135,36.149,-115.333,3,72,1
-cOVyWUJlasj-wpMAaWwvQ,"La Flor de Michoacan",Southeast,"9711 S Eastern Ave, Ste H-1","Las Vegas",NV,89183,36.0126,-115.12,4.5,34,1
-CQokjildrY7UZezXCdEBw,"Toddy Shop",Westside,"238 S Rainbow Blvd","Las Vegas",NV,89145,36.1714,-115.245,5,41,1
-CWrMIPVlrnKlX3iUFW_SA,"Spinal Care of Nevada",Summerlin,"1930 Village Center Cir","Las Vegas",NV,89134,36.1944,-115.305,3.5,22,1
-cxD1NimFldATDUsN-oa3A,"Coasta Cantina",,"4500 W Tropicana Ave","Las Vegas",NV,89103,36.1027,-115.202,2,23,0
-CXghG-nW759EIaMRVh_eg,"Scott's Half-Price PLumbing",Westside,,"Las Vegas",NV,89146,36.1356,-115.23,4,5,1
-CZwX0Fy14DGCY_2aFkhKg,"K Jun Chicken",Chinatown,"6850 Spring Mountain Rd","Las Vegas",NV,89102,36.1269,-115.242,3.5,5,0
-D6sOOfxh-3n0C8uQiN6Hw,"Postal Pros",Southeast,"9480 S Eastern Ave, Ste 105","Las Vegas",NV,89123,36.0161,-115.118,4,5,0
-dGORHtjPRnQzTZ2-SYa_g,"Great Wraps","The Strip","3200 Las Vegas Blvd S","Las Vegas",NV,89109,36.127,-115.168,3,25,1
-dKdgwCCnrg8KxX0W4JUbA,"Cassidy Arbeli - State Farm Insurance Agent",Southeast,"2948 E Russell Rd, Ste 4","Las Vegas",NV,89120,36.0868,-115.111,4.5,11,1
-DLxOk2wZblIJ_8uLugQUQ,"Decatur & Craig Chiropractic",Northwest,"4925 W Craig Rd","Las Vegas",NV,89130,36.2376,-115.21,5,8,1
-DQqRhwnSUB1hGHqaKk6wA,"Sun Country Heating and Cooling",Southeast,"6394 Montessouri St, Ste A","Las Vegas",NV,89113,36.0802,-115.153,4.5,46,1
-dRVXZ4DI5rEpQNGLhVaxA,Adlava,Southeast,"2065 E Windmill Ln, Ste 134","Las Vegas",NV,89123,36.0417,-115.122,4.5,9,1
-Dz-yOxJ8OQpbNdDGWym9A,"Dream Lawns",,,"Las Vegas",NV,89101,36.1697,-115.124,5,9,1
-e02KD5YfxyQhghDYAmaoA,"Flip and Photos",Southwest,"6329 Carson Hills","Las Vegas",NV,89139,36.0367,-115.23,5,3,1
-e218HfQvrFn6dk6zZyH3g,"Orleans Spa & Fitness Center",,"4500 W Tropicana Ave","Las Vegas",NV,89103,36.1022,-115.201,5,4,1
-ecWOYxCL9GC80_aSqHBAw,SuperPawn,Westside,"2645 S Decatur Blvd","Las Vegas",NV,89102,36.1421,-115.209,3,3,1
-ed0Yc9on37RoIoG2ZgxBA,"Le Thai",Downtown,"523 Fremont St","Las Vegas",NV,89101,36.1688,-115.14,4,1355,1
-ElDqujEn1u64ynQr0bX7g,"McFarling Law Group",Westside,"6230 W Desert Inn Rd","Las Vegas",NV,89146,36.1299,-115.228,4,12,1
-emIw7Lm6GLgsRNlGz3pog,"Hualapai Canyon Trailhead",Summerlin,"2-338 S Hualapai Way","Las Vegas",NV,89144,36.1735,-115.316,4,7,1
-EohS3nXZGl6odE9Lx5BSw,"Panda Express",Eastside,"5516 Boulder Hwy","Las Vegas",NV,89122,36.1008,-115.054,2,8,1
-ePLgQ_afOTW1STxD-2RIA,"Silver State Dental","Spring Valley","4555 S Fort Apache Rd, Ste 136","Las Vegas",NV,89147,36.1065,-115.298,4.5,38,1
-ErwgUmZ1-jHW_rSu55jlg,"Menchie's Frozen Yogurt",,"7500 W Lake Mead Blvd, Ste 2","Las Vegas",NV,89128,36.1962,-115.258,4,32,0
-eSyre8QQmcIj4wb0uIdmQ,"AG Jeans",,"32100 Las Vegas Blvd S","Las Vegas",NV,89019,35.6157,-115.387,4.5,3,1
-et-7p5N-zUymdxsKKLnjA,"Dream Design",Westside,"5247 W Charleston Blvd","Las Vegas",NV,89146,36.1587,-115.213,3.5,7,1
-eV1cihbyzpyEK9vtrxefA,"Law Offices of Jorge G Corral",Eastside,"2950 E Flamingo St, Ste I","Las Vegas",NV,89121,36.1154,-115.111,1.5,6,1
-EWJNNVi_3xHjwPfgYDvGg,"Bijin Aesthetics",Westside,"2001 S Rainbow Blvd, Ste 100","Las Vegas",NV,89146,36.1492,-115.244,5,4,1
-f951Cpt-bAHnURX5ev3BA,"Children's Urology Associates","Spring Valley","6670 S Tenaya Way, Ste 180","Las Vegas",NV,89113,36.067,-115.251,2,9,1
-FcZY7a7qgxTUlTvwuyJnQ,"8 Noodle Bar","South Summerlin","11011 W Charleston Blvd","Las Vegas",NV,89135,36.1551,-115.335,3.5,208,1
-fFd82efWwJRY0m3YV2Pig,"ClearChoice Dental Implant Center","Spring Valley","6460 Medical Center St, Ste 300","Las Vegas",NV,89148,36.0711,-115.291,2,5,1
-fHresyUr7G05hV3CRJj8w,"Rising Star Preschool & Childcare",Southeast,"8889 S Eastern Ave, Ste 160","Las Vegas",NV,89123,36.028,-115.119,4.5,16,1
-FlrlELIGmCqdt_JxbdFgg,"Panda Express",Summerlin,"1940 Village Center Cir","Las Vegas",NV,89134,36.1938,-115.305,3,9,0
-fmWDGsNB-Ufa5wZfuNXOA,"Bruce Scher's Tires","Spring Valley","5567 S Rainbow Blvd","Las Vegas",NV,89118,36.0881,-115.243,2.5,7,1
-FNquqGseSCVMWo7KbK-Tg,"Chipotle Mexican Grill",University,"4530 S Maryland Pkwy","Las Vegas",NV,89119,36.1071,-115.137,3.5,119,1
-G0puEUvJJo1IxwIvYtXPg,"GoodFellas Collision Center",Westside,"3025 Sheridan St","Las Vegas",NV,89102,36.135,-115.189,5,45,1
-G7MPSNBpxRJmtrJxdwt7A,"La Costa Del Sol",Sunrise,"2208 S Nellis Blvd","Las Vegas",NV,89104,36.1471,-115.064,3.5,37,1
-g81bxMqgpfJQHUSDDljjg,"WorldMark Las Vegas - Spencer Street",University,"4225 Spencer St","Las Vegas",NV,89119,36.1125,-115.129,3.5,19,1
-G9DFmuokdYk_H35ezRkAw,"Dolphin Bar","The Strip","3400 Las Vegas Blvd S","Las Vegas",NV,89109,36.1213,-115.172,4,8,1
-GDmL5qxpwwoiM77SvNqxQ,"Spirals Hair & Nail Studio",Summerlin,"8544 Del Webb Blvd","Las Vegas",NV,89134,36.2106,-115.28,3,9,1
-Gg1YBUAseVfNYb7d_9uDQ,"Sabra Motors","Spring Valley","6940 W Patrick Ln","Las Vegas",NV,89118,36.0782,-115.244,5,5,1
-gNGk0SIbdBNSRBrzQAeSA,"Waggin Wheels Mobile Clinic",,,"Las Vegas",NV,88901,36.18,-115.14,4.5,28,1
-gx4-wJT_n7ufN1RsrDG2w,"Vegas Towers Apartments",University,"1061 E Flamingo Rd","Las Vegas",NV,89119,36.1136,-115.141,2.5,30,1
-gXDD2oSHBDA3zgjX6g9pQ,"The Plate Bar & Grill",Sunrise,"2396 S Lamb Blvd","Las Vegas",NV,89104,36.1452,-115.082,4,10,1
-g_3XHnCdchIchtC-le2tQ,"Planet Hollywood Diamond Lounge","The Strip","3663 S Las Vegas Blvd","Las Vegas",NV,89109,36.1098,-115.172,4.5,19,1
-H49o1OyiCgTsLjsiDNISA,"Dollar General",Sunrise,"5155 E Lake Mead Blvd","Las Vegas",NV,89156,36.1962,-115.061,1.5,6,1
-h6bVDP9YrQ0Pa22CpEQDQ,"Master Craftsmen",,"5240 S Decatur Blvd, Ste 2","Las Vegas",NV,89118,36.0947,-115.207,2.5,11,1
-h6tY3fsqgi1NTpSLU9OWw,"So Good Arcade","Spring Valley","4545 Spring Mountain Rd, Ste 104","Las Vegas",NV,89102,36.1272,-115.28,4.5,19,0
-H6_7u1-hr6wgPP-CZ7iVg,"24-7 Locksmith",Summerlin,"911 N Buffalo Dr","Las Vegas",NV,89128,36.1819,-115.261,1,34,1
-h9-bhxjbOH9nuvzExRbag,"Star Auto Glass","Spring Valley",,"Las Vegas",NV,89118,36.081,-115.224,5,6,1
-hcBecAaOJmfMi8oX6-CYA,"Big O Tires",Summerlin,"10127 W Charleston Blvd","Las Vegas",NV,89135,36.1586,-115.316,4,152,1
-heiUEHVRPHo5xaAE8vwTg,cakelava,"Spring Valley","4555 S Fort Apache Rd, Ste 122","Las Vegas",NV,89147,36.1065,-115.298,5,18,1
-Hfh0LdzkAPVfZUwRKNzJg,Cartier,"The Strip","3500 Las Vegas Blvd S, Space #B03","Las Vegas",NV,89109,36.119,-115.176,4,13,1
-hFwTM7hZPWfk-7rBqHkWw,"Arthur Murray Dance Studio - Las Vegas West","Spring Valley","4440 S Durango Dr, Ste A","Las Vegas",NV,89147,36.1089,-115.278,4.5,17,1
-hKfhVhsNkTPHKWEZHKDig,"Scoops Thrifty Ice Cream","Spring Valley","3655 S Durango Dr, Ste 19","Las Vegas",NV,89147,36.1239,-115.279,3.5,33,1
-HqEWTmVz0Gv9xXxEt3dsg,"Enix Mechanical",,"5955 Hauck St, Ste 103","Las Vegas",NV,89118,36.0812,-115.211,5,3,1
-HSe4xoW0fQADWUuMA6uSQ,"Christmas Goose Country Gifts & Quilt Shop",Westside,"2988 S Durango Dr","Las Vegas",NV,89117,36.135,-115.278,4.5,11,1
-hsFN8VQvH26M0WZ3k1Wtg,"Jockey Club","The Strip","3700 Las Vegas Blvd S","Las Vegas",NV,89109,36.1103,-115.175,3,248,1
-hu5mnjIjnTWyCQIGDL_Iw,"Master Lock & Security",Southeast,,"Las Vegas",NV,89123,36.0357,-115.153,4.5,164,1
-hvteS1hY_u4mLl0Ldkp2A,"Cactus Air, LLC",,,"Las Vegas",NV,89101,36.1697,-115.124,5,3,1
-HX9QwGulN-oKsXsbjqBMA,"Vegas Trike Adventures",,"5375 Cameron St","Las Vegas",NV,89118,36.0923,-115.204,4,12,1
-HZ2VmNnnrH1tp-yKyhdNA,"Nectar Natural Infusions","The Strip","3377 S Las Vegas Blvd","Las Vegas",NV,89109,36.121,-115.172,5,11,0
-hzQQ8tbXThpp0k5E_y1Dw,Blizz,"The Strip","3799 Las Vegas Blvd S","Las Vegas",NV,89109,36.1039,-115.169,3,65,1
-I06hkMFrX0KBqu61ik1YA,"Andre Agassi College Preparatory Academy",,"1201 W Lake Mead Blvd","Las Vegas",NV,89106,36.1953,-115.158,5,4,1
-I0sOY8Wh4-oeIZmCU0rlg,"Yellowstone Clubhouse",Southwest,"10175 Quarterhorse Ln","Las Vegas",NV,89178,36.0035,-115.294,3,12,1
-iBk1_3M_efQtY6Bcygp5w,"Viva Salsa",,"4111 Boulder Hwy","Las Vegas",NV,89121,36.1337,-115.085,4.5,8,1
