"","Average Stars","Number of Check-ins","Average Sentiment"
"386",3.5,48,0.208252844656774
"387",3.5,19,0.266824747850153
"388",3,8,0.09679231119754
"389",4,146,0.257207398008986
"393",3,160,0.14093967996209
"396",4,39,0.215552797896587
"397",4,60,0.253324284913942
"399",3,173,0.138968136954581
"400",3.5,5,0.29690333694083
"401",3.5,30,0.191336587390758
"402",4.5,94,0.318281106563432
"403",4.5,8,0.146672077922125
"404",3.5,37,0.183484952313999
"407",4.5,21,0.302158409491797
"410",3.5,70,0.21382688492075
"411",3.5,35,0.144325145070893
"412",3,8,0.168204201101933
"414",2.5,8,-0.06836263466058
"415",3.5,115,0.209072966505458
"416",5,8,0.3486111111115
"417",3.5,8,0.1418867243866
"418",3,6,0.3355266955266
"419",3.5,410,0.176702218553272
"420",4,4,0.462296037296
"421",4,177,0.30216593329188
"422",4,31,0.170740065256892
"423",3.5,163,0.21004536176368
"424",4,60,0.223572074776836
"425",4.5,13,0.285972222222175
"427",4,4,0.19655095884494
"428",3.5,832,0.186486340912305
"429",4,13,0.334457070707
"430",2.5,13,-0.192645588538443
"431",2.5,15,0.141619504833978
"433",4,146,0.228741896546964
"435",3.5,198,0.255942907163424
"438",4,50,0.234048235010231
"439",3,116,0.127155041009284
"440",4.5,5,0.2759283008658
"441",1.5,7,-0.1062023809524
"443",4,36,0.194181839486808
"444",2.5,9,0.0576948051947571
"445",3.5,298,0.226856319781025
"448",3,17,0.137074905561101
"450",4,49,0.279605328534
"452",3.5,166,0.144411851516804
"453",3,1,0.44
"454",3.5,24,0.251093937331333
"455",3,96,0.158630463014533
"456",3,77,0.122150258508144
"457",4,44,0.256842186684842
"458",3.5,191,0.217261912423843
"459",3.5,277,0.202994084427205
"460",2.5,2,-0.115189393939348
"461",3,222,0.162966049732438
"463",3,13,0.117350802856731
"464",2.5,19,0.01301598575038
"466",4,4,0.208237272276362
"467",3.5,253,0.218699885122138
"469",3.5,153,0.227104505674334
"470",3.5,51,0.218494539363294
"472",3.5,7,0.209296637004933
"473",4.5,15,0.2407611885664
"474",4.5,23,0.223793299734553
"476",3,24,0.166178881634343
"477",3,1095,0.137218611624808
"478",4,142,0.202640939116724
"480",2.5,193,0.114012863408991
"481",4,34,0.185551276901266
"482",4,38,0.160760449540076
"484",2.5,11,0.167231656377317
"486",3.5,11,0.179396856217596
"489",3.5,113,0.20535590030858
"490",4,77,0.304402413366574
"491",4,41,0.142237520360044
"493",3,2,0.139640022675667
"494",3.5,33,0.1642543859651
"495",3.5,48,0.10140794506421
"497",3.5,27,0.149698162269921
"498",4,4,0.277550090675
"500",4,1556,0.236436638846346
"501",3.5,32,0.0640988306214454
"502",3.5,261,0.195636185420521
"503",4.5,860,0.268181932678169
"506",4,20,0.1999540816328
"508",3,50,0.09456494281514
"509",4.5,45,0.291605883744743
"510",4,166,0.270601550834015
"511",3,182,0.157327054421355
"513",3.5,45,0.229856043657333
"514",3.5,212,0.204759455280839
"515",4,25,0.168940736863417
"516",2.5,119,0.156734218149068
"519",3,100,0.138126931929831
"521",3.5,4,0.08581627631622
"522",3.5,67,0.256043725545949
"523",3.5,319,0.174153686778652
"524",2.5,40,-0.102825984200833
"526",4,59,0.211268499499623
"527",4,278,0.235943871537898
"528",2.5,6,0.0886078042327
"529",4,5,0.10458823747252
"530",4.5,58,0.301315642390096
"531",3.5,126,0.223152306228351
"534",4,4,0.1516534391533
"537",3.5,13,0.280281408206878
"538",4.5,14,0.189338582670076
"539",3.5,64,0.211580741350813
"540",3.5,18,0.20742180451134
"541",4,50,0.261451289141639
"542",3.5,24,0.205472505143583
"544",3,222,0.131868868936288
"545",4.5,152,0.28436431048121
"546",3.5,35,0.36170576656591
"547",4,229,0.182310410015831
"550",4,4,0.2241233766235
"551",4,101,0.250422223768766
"553",4,50,0.184736461523261
"555",3.5,183,0.161685177917892
"558",2.5,36,0.163715903027861
"559",3.5,2,0.389533730158733
"561",4.5,5,0.194948870574
"562",4.5,74,0.173733176187487
"563",2,18,0.0734899018830781
"564",2.5,1,0.0284760378510333
"565",3,29,0.136414935924014
"566",3.5,57,0.0833277628170227
"568",4,33,0.341053447264466
"569",2.5,9,0.0309497515315222
"571",4,11,0.150199615199667
"572",3.5,293,0.148141533728915
"573",4,32,0.193734045602733
"575",3.5,37,0.209867771369049
"576",4,22,0.246295766149588
"577",2.5,5,0.036101429097475
"579",4.5,12,0.2770238095235
"580",3.5,148,0.220771691003981
"581",4,115,0.243319504321052
"582",3,96,0.141491505823665
"583",3.5,50,0.200365134382291
"585",2,19,0.0872659782346617
"586",3,91,0.1849771786993
"587",4,292,0.238718720208394
"589",3.5,483,0.230556097506559
"590",3.5,273,0.241226253616658
"591",3.5,385,0.254306521098899
"592",3.5,179,0.18041785502844
"594",4.5,9,0.271972059590833
"595",4,52,0.246762634035111
"596",3,281,0.132222190597869
"598",3.5,27,0.178044898449484
"599",2,3,0.2256047873695
"600",4,20,0.336788551840914
"601",4,66,0.250145901854851
"602",3.5,246,0.170810059473557
"603",3.5,26,0.182430124318191
"604",4,65,0.242903545594052
"605",2.5,11,0.137856240981215
"607",4.5,29,0.280598219028941
"610",3.5,13,0.182107261318205
"611",4.5,58,0.355156530473723
"612",3.5,260,0.177003562041173
"615",3.5,88,0.178590032065215
"616",4,331,0.285464436033595
"617",3.5,12,0.16861111111135
"618",4,124,0.232835030821485
"619",3.5,58,0.253950349016087
"622",3.5,56,0.192931011497425
"623",3.5,5,0.297819679386857
"624",3.5,103,0.27314007111932
"625",4,87,0.283853041142281
"627",4,49,0.245161450245662
"628",4,2,0.111444309162948
"629",3,13,0.136271661731653
"630",3.5,220,0.209689883491684
"632",2,4,-0.1761155202823
"633",3,86,0.07920154638845
"635",4,270,0.245949909905941
"636",3.5,188,0.22461880592394
"637",4.5,93,0.28166254341578
"638",3,429,0.179397248287784
"639",4,22,0.229527417027357
"641",4,14,0.19375211411125
"642",3.5,72,0.232094318931596
"644",4,52,0.334152928326684
"645",3.5,25,0.246808138233271
"647",4,92,0.207970879503873
"648",4.5,4,0.229264245341475
"649",4,350,0.187805812788707
"650",3,55,0.217175689507295
"651",2,68,0.0509662983660917
"652",3,14,0.1422090591287
"653",4.5,28,0.322359583639167
"654",4,334,0.255662001087647
"656",4,205,0.2558408604326
"657",3.5,827,0.235541082208047
"660",4,972,0.185578417866517
"661",4,36,0.21340116028429
"662",4,576,0.172542180718552
"663",2.5,24,0.0183158058545333
"664",3.5,118,0.255496268934222
"665",3.5,118,0.207157046354126
"666",4,68,0.23121381181384
"667",3.5,159,0.204461575329707
"668",4,491,0.187634103493442
"669",4,170,0.254885741190088
"670",3,1,-0.0648148148149
"671",4.5,1,0.362045454545
"672",3.5,32,0.208928764649401
"673",3.5,371,0.147391142383442
"674",4.5,50,0.233186806283193
"676",2.5,1296,0.144368869589233
"677",4,19,0.20076590317267
"678",3,29,0.105267632850751
"680",4,5,0.269655275280287
"681",4,150,0.146518334455918
"682",2.5,12,-0.062293956044
"683",4.5,65,0.298837263174015
"684",4,272,0.287573990925289
"685",4.5,8,0.240119047619
"686",3.5,508,0.245836663932887
"687",4,66,0.203916108142262
"688",4.5,4,0.270078571428425
"689",3.5,9,0.236194403611531
"690",3.5,9,0.18786897852275
"692",4,52,0.210875502451537
"693",3.5,184,0.178961672222974
"694",3,15,0.284601945673571
"697",4,65,0.208073602411043
"698",3,19,0.1563472936913
"699",4,10,0.185307870370538
"700",4,152,0.230411121839981
"701",3.5,45,0.178720745466341
"702",4,264,0.21836624869884
"704",3,4,0.160964673380136
"705",3,12,0.03415031662391
"706",3,50,0.159438262959754
"707",3,225,0.196225709789155
"708",2,166,0.0191822122021522
"709",4,1368,0.22481880699521
"710",4,538,0.209829229656658
"711",4,4,0.248767006803
"712",4,234,0.24457264673453
"713",3.5,129,0.222170828349998
"715",3,14,0.06608278508775
"718",3.5,24,0.174467246167733
"719",3.5,12,0.1644290123458
"720",3.5,500,0.123070352517474
"722",3.5,120,0.157235186042534
"724",4,57,0.219265437470805
"725",2.5,2,0.051817458858489
"726",3,10,0.168664851499475
"727",2,3,-0.217074456975775
"728",4,74,0.232642670517421
"729",3,42,0.156993830809173
"730",2,7,0.09494471577825
"731",3.5,98,0.222543460134426
"732",3.5,2,0.24526984126976
"734",4.5,9,0.217516037390125
"736",4,242,0.27757406391237
"737",2.5,145,0.0763983861358267
"738",4,16,0.268632118756606
"739",3,12,0.15284017371517
"740",3.5,264,0.18953295816399
"741",2.5,14,0.14137934904606
"743",3.5,27,0.135762279387227
"744",4,2,0.239286687324111
"745",3.5,100,0.157913175086789
"746",3,36,0.1004629708818
"747",4.5,124,0.279173271539187
"750",4.5,208,0.231997683207488
"751",4.5,6,0.2013892958894
"752",3,273,0.143370252102375
"754",3.5,71,0.211705750061693
"756",4,150,0.224316204679092
"757",3.5,23,0.137832295004976
"758",3,81,0.228787918590106
"759",2,4,0.06935257008785
"760",1,4,0.0117316017316
"761",4,52,0.294126674170022
"762",4,59,0.189098841455592
"763",4,52,0.282860159287453
"765",1,2,-0.106649029982333
"767",4,34,0.195632974360842
"769",3,37,0.174446321776563
"771",3.5,267,0.192450523774053
"772",3.5,25,0.200122810906211
"774",4.5,146,0.249023986682709
"775",4,38,0.27365139420214
"776",2,14,-0.0148117350485462
"777",3.5,252,0.179339524382347
"779",3,397,0.11217502494354
"780",3.5,51,0.197890355644562
"781",4,510,0.175632901780653
"782",3.5,10,0.242006029684557
"783",4,980,0.281628432476609
"784",4,362,0.277587179448156
"786",3.5,3,0.096701388889
"788",4.5,26,0.321705597869096
"789",3.5,16,0.0771794708411892
"791",3,15,0.07450203828817
"792",3.5,230,0.203788456813886
"794",4,98,0.202260322860659
"795",3.5,19,0.071032788115264
"797",2.5,24,0.211384466979143
"798",3,18,0.13714056776525
"802",4,5,0.158838383838333
"803",3.5,29,0.23734528789196
"804",2,8,0.2529265873015
"807",4.5,17,0.24638567767898
"808",4,3,0.178187830688
"811",4,181,0.286998929306365
"812",4,407,0.234497549194742
"814",4,4,0.2173137254902
"815",3.5,2,0.38750000000015
"816",2,12,0.0966756087187554
"817",4,8,0.17005960648376
"818",3.5,123,0.218342679308165
"819",2.5,34,0.160185534842973
"820",4,206,0.23620465263601
"822",3.5,9,0.124713420409724
"823",4.5,165,0.197695402859744
"824",3.5,560,0.206906904609516
"826",2.5,2,-0.00106705182075285
"827",3.5,88,0.251368072120643
"828",3.5,187,0.158448122123482
"830",3.5,36,0.0371143243622333
"831",4,30,0.317130565427032
"832",4,61,0.140081857745733
"834",4.5,21,0.23091698505625
"835",3,20,0.221553147851
"837",4,75,0.24925350538773
"838",3.5,376,0.201303503717874
"839",4.5,19,0.234706898917044
"841",2.5,23,0.0154147126022
"842",1.5,34,0.02663223827645
"843",4,202,0.216911251801236
"845",3,54,0.191566805411389
"846",3,146,0.11819120945528
"847",4,129,0.287905724603975
"848",4,66,0.249148105820572
"849",3.5,7,0.070853997260313
"850",2,28,0.0333433541766333
"851",4.5,33,0.299626783733762
"853",3.5,76,0.209340888568324
"854",4,449,0.251267789634238
"855",3.5,4,0.209815917107667
"856",3.5,103,0.207510859045261
"858",3.5,63,0.16828335888591
"859",3.5,215,0.130984557087199
"860",3,395,0.14068841005954
"861",2.5,110,0.137848201083897
"862",3,204,0.209752034967235
"863",3,568,0.14090939149761
"865",3.5,14,0.189938872855589
"866",4,58,0.225759463342132
"867",4,6,0.26028732864359
"868",3.5,574,0.192393379136534
"870",3,21,0.139674855903665
"871",4,4,0.263050408138288
"873",3.5,45,0.215062292638248
"874",2,52,0.0241746484509579
"877",3.5,43,0.194487246158625
"878",4,15,0.231474765589351
"880",4.5,50,0.392738866483595
"881",3.5,981,0.200906576251838
"882",2.5,16,-0.0603571428571
"883",3,393,0.149643018195174
"885",2.5,222,0.163510269577813
"886",4,478,0.209957350776573
"887",2.5,5,0.2652572877905
"888",3,8,0.236407555407433
"890",4.5,7,0.331885806406
"892",4,14,0.128129114808725
"893",4,98,0.2223174759315
"894",3.5,69,0.249502114798982
"895",3,35,-0.0260519193542218
"896",3.5,92,0.105139363068069
"897",3.5,609,0.248658111929038
"898",3.5,169,0.228792447275466
"899",4,150,0.216321581578281
"900",3.5,2,0.120188729399
"901",1.5,16,0.07134229936725
"902",4,118,0.228293365258573
"903",3.5,18,0.12961744747464
"904",3.5,180,0.201823927472493
"905",4,815,0.292578574093476
"906",2,49,0.112705642804103
"907",4,598,0.204441532278064
"908",3.5,17,0.255914681311021
"909",3.5,132,0.16567337110824
"910",3.5,29,0.189716895957766
"911",4,387,0.257215811049531
"912",3,72,0.05174660942407
"913",3.5,1006,0.176865786221194
"914",4,59,0.157906369922166
"915",3,163,0.107412805500503
"916",3.5,69,0.256956443723355
"917",4.5,84,0.299270722900652
"919",3.5,39,0.197242932082404
"920",3.5,210,0.261655742385779
"921",4.5,176,0.253445418249121
"922",4,75,0.19113011610085
"924",2.5,28,-0.02939905572414
"925",4.5,17,0.325553194782167
"926",4.5,20,0.269596944061114
"927",4,10,0.241694240190427
"928",3.5,56,0.12819540644548
"929",3.5,26,0.318609319117789
"931",3.5,20,0.192105368684525
"932",3,13,0.0753352665852615
"934",3.5,258,0.266667404612904
"935",4,47,0.214609782894197
"937",3,32,0.12
"939",3.5,163,0.177493513355451
"940",2.5,3,0.10502344877355
"942",3.5,430,0.206583812753554
"943",3,16,0.32440142407975
"944",4.5,30,0.308599353882978
"945",3.5,6,0.2224782168187
"946",3.5,2,0.310595943408333
"947",3,1,0.1191751700681
"950",3.5,26,0.09306259773371
"951",4,146,0.190868985940373
"952",4.5,108,0.311307700944567
"953",4,3,0.264987824675333
"954",2,3,0.01093145743154
"955",3,79,0.116710998628452
"956",3.5,41,0.179353250875598
"957",4.5,12,0.313792876667821
"958",3.5,44,0.139090205097314
"959",3.5,22,0.125714285714134
"960",4.5,208,0.236189675575028
"961",3.5,120,0.183297814358206
"962",3,228,0.112842424074993
"963",3,135,0.142867197603139
"964",3.5,65,0.032927382082815
"965",4.5,46,0.144112902452667
"966",3,66,0.174245312181138
"967",3.5,47,0.257659969428473
"969",5,8,0.533988846801333
"970",2.5,394,0.130320712907637
"971",4,776,0.236832172817459
"972",3.5,54,0.168626266590593
"974",4,26,0.204037611209652
"977",3,755,0.165116062917882
"978",3.5,97,0.155455361683553
"979",3.5,29,0.167342977626891
"980",3.5,448,0.198126357860213
"981",2.5,125,0.126975269354611
"982",4,32,0.197463708088553
"983",4,1248,0.264276895025832
"984",2.5,3,-0.0298893097643033
"986",4.5,1092,0.245760481181076
"987",2.5,47,0.151121800202643
"988",4,558,0.290287953431255
"990",4,5,0.00102383633625
"991",3.5,3,0.0345128600822222
"992",3.5,384,0.215829616285343
"993",3,2,0.0644710998878
"994",3.5,362,0.229181891790688
"995",4,2,0.160541914682625
"996",4,87,0.224889519691518
"998",3.5,34,0.200191741038126
"999",3,720,0.128084211099902
"1001",4,8,0.22220577544265
"1002",4.5,6,0.259026326577436
"1003",3.5,75,0.208021997331098
"1004",2,71,0.0585784380490357
"1005",3,35,0.157450406028186
"1006",3,68,0.22334538248508
"1007",4,120,0.216130357873212
"1008",1.5,15,0.0774656256882242
"1009",3.5,37,0.247424920034335
"1011",3.5,60,0.189057128571112
"1012",3.5,30,0.106073731652461
"1013",4,13,0.1682259636582
"1014",4,454,0.245832374528712
"1015",4,53,0.202719623527589
"1016",3.5,56,0.180666151668626
"1017",2.5,56,0.16973554839134
"1019",4.5,8,0.312833052552856
"1020",3.5,228,0.264378936707686
"1022",3.5,242,0.151743042614533
"1023",4,298,0.267754166628397
"1024",3,5,0.113571968426649
"1025",3,38,0.0440975787805475
"1026",3,33,0.193424617726145
"1027",2,139,0.0358739383435667
"1029",3.5,10,0.248969866155275
"1030",3,464,0.206752281168225
"1032",3.5,126,0.229614285392254
"1033",2.5,133,0.110120048145687
"1034",3.5,218,0.195701515458462
"1035",3.5,40,0.267852084182808
"1036",3,70,0.172579101265754
"1037",3.5,5,0.377774859944025
"1038",4,9,0.257638888889
"1039",4,276,0.24373378368663
"1041",2.5,11,0.0451416173711667
"1042",2,5,0.0834494047617833
"1043",4,133,0.191841104133636
"1045",4.5,240,0.281330356035611
"1046",4,250,0.210759968311448
"1047",3.5,19,0.27000765306131
"1049",3,14,0.06375
"1051",4,23,0.18309700022199
"1052",3.5,819,0.220033498493491
"1053",4.5,2,0.335227272727333
"1054",4,297,0.283963324056864
"1055",3.5,65,0.218248066217013
"1056",4,88,0.285810022826806
"1057",3,29,0.165691600531365
"1058",4,1522,0.194863152872114
"1059",4.5,23,0.312049251526895
"1060",3,2,0.187272727273
"1061",4,43,0.275284849052154
"1062",2.5,21,0.198386994949534
"1063",4.5,44,0.208060831971623
"1064",3.5,39,0.185847537878667
"1065",2.5,16,0.0459412881961667
"1066",4.5,15,0.29221139060149
"1067",2,1,0.082368163445775
"1068",3.5,104,0.193498339063801
"1069",3.5,16,0.0322752192982
"1070",3,33,0.16761362397525
"1071",3.5,35,0.193775845722791
"1073",2,13,0.0407588936503889
"1074",3.5,98,0.23170451366971
"1075",4,296,0.247159648660403
"1077",1.5,4,-0.113706349206286
"1078",1.5,1,-0.04916666666685
"1080",3.5,51,0.199184987708468
"1082",2.5,177,0.156432793739026
"1083",2.5,203,0.105179735229045
"1084",4,55,0.240988129598302
"1085",2.5,8,0.0253497274332
"1088",2.5,39,0.0360604632375029
"1089",2.5,1,0.331193755739233
"1090",3,12,0.145376864533759
"1091",3.5,6,-0.032678229337674
"1092",4.5,4,0.219022357580125
"1093",2.5,131,0.160292857762278
"1094",3.5,11,0.1723756580353
"1095",3.5,531,0.159756701742737
"1096",2.5,123,0.154792696495593
"1097",3.5,11,0.100536368393514
"1099",4,18,0.262191885859006
"1100",2,43,0.0433570586192417
"1101",3,43,0.156985255750906
"1102",4,27,0.1782161467297
"1103",2.5,85,0.14473085255482
"1105",4.5,10,0.2885600700886
"1106",2.5,144,0.1569052645753
"1107",3,153,0.173020269701945
"1109",2.5,346,0.170638260165869
"1110",4,48,0.164725284147242
"1113",4,52,0.0904073824418714
"1114",3,440,0.201872973238568
"1115",3,1,0.276614246521733
"1117",4,40,0.23882406979807
"1118",1.5,5,-0.154166666667
"1120",3.5,53,0.232564814202506
"1121",4,45,0.296295494042643
"1122",3.5,104,0.255718398057812
"1123",3,958,0.178471638840439
